Biology Open-Ended Questions||
Eğrelti otlarına ait özellikler nelerdir?|özellikler|
Eklembacaklılarda görülen solunum organlarının özellikleri nelerdir?|özellikleri|
Eklemlerde kemiğin aşınmasını önleyen yapılar nelerdir?|yapılar|
Ekoloji nedir?|ekoloji|
Ekoloji son yıllarda neden önceki yıllara göre daha önemli bir noktaya gelmiştir?|gelinmiştir|
Ekolojik ayak izi canlılar için neden önemlidir?|önemlidir|
Ekolojik ayak izi nedir?|ekolojik ayak izi|
Ekolojik değer nedir?|ekolojik değer|
Ekolojik niş ne demektir?|demektir|
Ekosistemde ayrıştırıcılar olmasaydı ne olurdu?|olurdu|
Ekosistemde tüketiciler olmasaydı ne olurdu?|olurdu|
Ekosistemdeki canlılar beslenme şekillerine göre kaça ayrılır?|ayrılır|
Ekosistemdeki canlıları etkileyen faktörler nelerdir?|faktörler|
Ekosistemdeki cansız abiyotik faktörler nelerdir?|abiyotik faktörler|cansız
Ekosisteme zarar veren insan faaliyetleri nelerdir?|insan faaliyetleri|
Ekosistemin korunması için su kirliliği ile ilgili alınması gereken tedbirler nelerdir?|tedbirler|
Ekosistemlerin bozulması, biyolojik çeşitliliği nasıl etkiler?|etkiler|
Ekoton ne demektir?|demektir|
Ekzositozu aktif taşımadan ayıran özellik nedir?|özellik|
El ve ayak kemikleri arasında çok sayıda eklem bulunmasının nedeni ne olabilir?|olabilir|
Embriyodaki metabolik atıklar nasıl dışarı atılmaktadır?|dışarı atılmaktadır|
Embriyodaki metabolik atıklar nerede birikmektedir?|birikmektedir|
Embriyonun dışında yer alan zarlar ne işe yarar?|işe yarar|
Embriyonun dışındaki amniyon zarının görevi nedir?|görevi|
Embriyonun dışındaki koriyonun zarının görevi nedir? |görevi|
Embriyoya ait vitellüs kesesinin bazı canlılarda küçük olmasının sebebi nedir?|sebebi|
Embriyoya ait vitellüs kesesinin hangi canlılarda çok küçüktür?|canlılarda|
Endemik tür nedir?|endemik tür|
Endositoz hangi durumda gerçekleşir?|durumda|
Endospermin görevi nedir?|görevi|
Enzim etki mekanizmasında gerçekleşen olaylar nelerdir?|olaylar|
Enzimlerin çalışmasına etki eden etmenler nelerdir?|etmenler|
Enzimlerin özellikleri nelerdir?|özellikleri|
Enzimlerin yapısında neler bulunur?|bulunur|
Erkek üreme organında bulunan testislerin görevi nedir?|görevi|
Erkek üreme sistemini kontrol eden hormonlar nelerdir?|hormonlar|
Erkeklerde FSH hormonunun görevi nedir?|görevi|
Erkeklerde LH hormonunun görevi nedir?|görevi|
Erkeklerde üreme sistemi nelerden oluşur?|oluşur|
Erozyona sebep olan olaylar nelerdir?|olaylar|
Eşeye bağlı baskın özellikler nelerdir?|baskın özellikler|
Eşeye bağlı çekinik özellikler nelerdir?|çekinik özellikler|
Eşeye bağlı karakter ne demektir?|demektir|
Eşeyli üreme nasıl gerçekleşir?|gerçekleşir|
Eşeyli üremede tür içi kromozom sayısının sabit kalmasını sağlayan olaylar nelerdir?|olaylar|
Eşeysiz üreme nasıl gerçekleşir?|gerçekleşir|
Etilen hormonunun bitkilerin büyümesine etkileri nelerdir?|etkileri|
Etnobotanik nedir?|etnobotanik|
Etnobotanik nedir?|etnobotanik|
Evrimin açıklanmasına biyokimyanın katkıları nelerdir?|katkıları|
Evrimin açıklanmasına embriyolojinin katkıları nelerdir?|katkıları|
Evrimin açıklanmasına genetiğin katkıları nelerdir?|katkıları|
Evrimin varlığına kanıt olabilecek durumlar nelerdir?|durumlar|
Fazlası depolanamayıp, idrarla atılan vitaminler hangileridir?|vitaminler|
Fenotopik eşey belirlenmesi durumu nasıl gerçekleşmektedir?|gerçekleşmektedir|
Fetal evrede fetüsün gelişimi nasıldır?|fetüsün gelişimi|
Fitoplankton nedir?|fitoplankton|
Fosiller evrimin anlaşılmasına nasıl katkıda bulunur?|katkıda bulunur|
Fosillerin araştırılmasından elde edilen bilgilerin, yaşamın anlaşılmasına sağladığı katkılar nelerdir?|katkılar|
Fosillerin ve kayaçların yaşı nasıl hesaplanır?|hesaplanır|
Fotoototrof canlılar ne ile beslenir?|beslenir|
Fotoperiyodizm nedir?|fotoperiyodizm|
Fototototrof canlılara örnekler nelerdir?|örnekler|
Gamet nedir?|gamet|
Gametofit nedir?|gametofit|
Gastrula evresinde ne gerçekleşir?|gerçekleşir|
GDO'lu ürünleri tüketen insanlarda sık görülen hastalıklar nelerdir?|hastalıklar|
Genetiği değiştirilmiş organizmaların yararları nelerdir?|yararları|
Genetiği değiştirilmiş organizmaların zararları nelerdir?|zararları|
Genetik çeşitliliğinin asıl kaynağı nedir?|kaynağı|asıl
Genetik çeşitlilik nedir?|genetik çeşitlilik|
Genetik danışmanlık neden önemlidir?|önemlidir|
Genetik harita ne işe yarar?|işe yarar|
Genetik mühendisliğinin çalışma konuları nelerdir?|çalışma konuları|
Gen-Kromozom teorisi nedir?|gen-kromozom teorisi|
Genom projesi nedir?|genom projesi|
Genom projesi nedir?|genom projesi|
George Mendel yaptığı kalıtım çalışmalarında neden bezelyeyi seçmiştir?|seçmiştir|
Geviş getiren memeli hayvanların mide yapısı nasıldır?|mide yapısı|
Giberellin hormonunun bitkilerin büyümesine etkileri nelerdir?|etkileri|
Gıda zehirlenmesi nasıl olur?|olur|
Glukagon hormonunun kandaki glikoz miktarına etkisi nedir?|etkisi|
Göbek kordonu ne işe yarar?|işe yarar|
Golgi cisimciğinin görevini yapmaması sonucu oluşan hastalıklar nelerdir?|hastalıklar|
Gonozomlarda ayrılmama durumunda oluşan hastalıklar nelerdir?|hastalıklar|
Göz merceğinin şekli nasıldır?|şekli|
Gözde dıştan içe doğru hangi yapılar vardır?|yapılar|
Gözlem ve çıkarım arasındaki fark nedir?|fark|
Grip hastalığında neden antibiyotik önerilmektedir?|önerilmektedir|
Grip virüsü nasıl bulaşmaktadır?|bulaşmaktadır|
Grip ya da nezle olan insanlar yedikleri besinlerin tatlarını tam olarak alamamalarının sebebi nedir?|sebebi|
Gün uzunluğundan etkilenen bitkiler nelerdir?|bitkiler|
Gün uzunluğundan etkilenmeyen bitkiler nelerdir?|bitkiler|
Gün uzunluğunu, bitkilerde büyüme ve gelişmeyi nasıl etkilemektedir?|etkilemektedir|
Güncel çevre sorunları nelerdir?|çevre sorunları|güncel
Güneş ışığının bitki ve hayvanların yeryüzündeki dağılımına etkisi nedir?|etkisi|
Gürültü kirliliği nasıl ölçülür?|ölçülür|
Gürültü kirliliği nedir?|gürültü kirliliği|
Habitat nedir?|habitat|
Halkalı solucanlar ne ile beslenir?|beslenir|
Halkalı solucanlara örnekler nelerdir?|örnekler|
Hamilelik sırasında görülebilecek gelişim anormallikleri nelerdir?|gelişim anormallikleri|
Hamilelik sırasında görülen gelişim anormalliklerinin sebepleri nelerdir?|sebepleri|
Hamilelikte bebeğin gelişimini olumsuz etkileyen faktörler nelerdir?|faktörler|
Hamilelikte embriyonik evrede ne gerçekleşir?|gerçekleşir|
Hamilelikte fetal evrede ne gerçekleşir?|gerçekleşir|
Hangi canlılarda kan, oksijeni dokulara kadar taşımaz?|canlılarda|
Hangi ortamda yaşayan memelilerde böbrek kanalcıkları daha uzundur?|ortamda|
Hangi ürünler GDO'ludur?|ürünler|
Hangi virüs örnekleri bulunur?|virüs örnekleri|
Haploit kromozom nedir?|haploit kromozom|
Hasar görmüş olan bir doku, kendisini nasıl yeniler?|yeniler|
Hava kalite indeksi nedir?|hava kalite indeksi|
Hava kirliliğine neden olan gazlar nelerdir?|gazlar|
Hava kirliliğine sebep olan etkenler nelerdir?|etkenler|
Hava kirliliğini durdurmak için neler yapılabilir?|yapılabilir|
Havadaki karbondioksidi bağlayan olaylar nelerdir?|olaylar|
Havanın serbest azot miktarını artıran canlı grubu hangileridir?|canlı grubu|
Hayvan hücrelerinde sitokinez nasıl gerçekleşir?|gerçekleşir|
Hayvan ve bitki üretiminde kullanılan ıslah yöntemleri nelerdir?|ıslah yöntemleri|
Hayvanlarda bulunan üç tip iskeletin birbirinden farkları nelerdir?|farkları|birbirinden
Hayvanlarda organogenezi etkileyen faktörler nelerdir?|faktörler|
Hemofili taşıyıcısı bir anneyle normal bir babadan doğacak çocukların genotipleri nasıldır?|genotipleri|
Hepatit B virüsü hangi hastalığa neden olur?|hastalığa|
Hermafrodit canlı nedir?|hermafrodit canlı|
Heterotrof canlılar ne ile beslenir?|beslenir|
Heterotrof hipotezi nedir?|heterotrof hipotezi|
Heterotrof hipotezine göre ilk canlının sahip olduğu özellikler nelerdir?|özellikler|
Heyelan artışının erozyon oluşumuna etkisi nedir?|etkisi|
Hibritleşme nedir?|hibritleşme|
Hipotonik idrar oluşumuna sebep olan durumlar nelerdir?|durumlar|
HIV virüsü hangi hastalığa neden olur?|hastalığa|
Holozoik beslenme ne demektir?|demektir|
Homokromi nedir?|homokromi|
Homolog ve analog yapıların incelenmesi evrimin anlaşılmasına nasıl katkı sağlar?|katkı sağlar|
Hormonal düzenlemede negatif geri bildirim ne demektir?|demektir|
Hormonların görevleri nelerdir?|görevleri|
Hormonların sadece hedef organda etki göstermesinin nedeni nedir?|nedeni|
Hücre bölünmesi sırasında G1 kontrol noktasında neler yapılır?|yapılır|
Hücre bölünmesi sırasında G2 kontrol noktasında ne yapılır?|yapılır|
Hücre bölünmesi sırasında M kontrol noktasında ne yapılır?|yapılır|
Hücre bölünmesini denetleyen kontrol noktaları nelerdir?|kontrol noktaları|
Hücre çekirdeğinin görevi nedir?|görevi|
Hücre çekirdeğinin yapısında neler bulunur?|bulunur|
Hücre dışı sindirimin hücre içi sindirime göre daha avantajlı olmasının nedeni nedir?|nedeni|
Hücre organellerinden sitoplazmanın yapısında neler bulunur?|bulunur|
Hücre zarının görevi nedir?|görevi|
Hücrede çalışan enzimlerin reaksiyon hızına etki eden etmenler nelerdir?|etmenler|
Hücreler tarafından gerçekleştirilen protein sentezi neden önemlidir?|önemlidir|
Hücrelerde aktif taşıma nasıl gerçekleşir?|gerçekleşir|
Hücrelerde pasif taşıma nasıl gerçekleşir?|gerçekleşir|
Hücrelerdeki asit ve baz dengesinin canlılık için önemi nedir?|önemi|
Hücrenin pH'ının azalmasına neden olan tepkimeler nelerdir?|tepkimeler|
İç döllenme gerçekleştiren canlılar nelerdir?|canlılar|
İç döllenme yapan canlıların özellikleri nelerdir?|özellikleri|
İç solunum olayı nasıl gerçekleşmektedir?|gerçekleşmektedir|
İçgüdü nedir?|içgüdü|
İçgüdüsel davranışlar nelerdir?|davranışlar|
İçme suyu kalitesini belirleyen parametreler nelerdir?|parametreler|
İdrar toplama kanalları nerededir?|nerededir|
İki yaşama sahip omurgalılar hangileridir?|omurgalılar|
İklimin canlılar üzerindeki etkileri nelerdir?|etkileri|
İletim dokuda bulunan floemin görevi nedir?|görevi|
İletim dokuları bitkilerin hangi kısımlarında bulunur?|kısımlarında|
İlkbahar odunun açık renkli halkalar şeklinde görülmesinin nedeni nedir?|nedeni|
İltihaplanma nasıl gerçekleşir?|gerçekleşir|
İnce bağırsağın iç yüzeyinde bulunan villusların kazandırdığı avantaj nedir?|avantaj|
İnce zarlı, bol sitoplazmalı, büyük çekirdekli ve devamlı çoğalabilen hücreler hangileridir?|hücreler|
İnsan dişi üreme sistemindeki rahimin görevi nedir?|görevi|
İnsan dişi üreme sistemini kontrol eden hormonlar nelerdir?|hormonlar|
İnsan embriyosunun normal gelişiminde hangi olaylar görülür?|olaylar|
İnsan Genom Projesinin amacı nedir?|amacı|
İnsan Genom Projesi'nin amacı nedir?|amacı|
İnsan kalbinde bulunan kapakçıkların görevleri nelerdir?|görevleri|
İnsan nüfusunun artması sonucu doğada meydana gelen olumsuz etkiler nelerdir?|etkiler|olumsuz
İnsan vücudunda ödem oluşmasının sebebi nedir?|sebebi|
İnsana yarar sağlayan bakteriler hangileridir?|bakteriler|
İnsanda akciğerin görevleri nelerdir?|görevleri|
İnsanda D vitamini eksikliği, hangi maddelerin dengesinin bozulmasına sebep olur?|maddelerin|
İnsanda dişi bireyde normal bir menstrual döngü sırasında kandaki FSH hormonunun değişimi nasıldır?|değişimi|
İnsanda dişi bireyde normal bir menstrual döngü sırasında kandaki LH hormonunun değişimi nasıldır?|değişimi|
İnsanda dişi bireyde, normal bir menstrual döngü sırasında, kandaki LH hormonunun miktarındaki değişimi nasıldır?|değişimi|
İnsanda doku sıvısının önemli olmasının nedeni nedir?|nedeni|
İnsanda eşeyin belirlenmesi nasıl gerçekleşmektedir?|gerçekleşmektedir|
İnsanda gerçekleşen olaylardan hangileri homeostasinin sağlanmasında doğrudan etkilidir?|olaylardan|insanda gerçekleşen
İnsanda hangi olaylar kasların peristaltik hareketiyle sağlanır?|olaylar|
İnsanda idarara çıkma sıklığını artıran durumlar nelerdir?|durumlar|
İnsanda kan gruplarından 3 farklı fenotip görülmesinin nedeni nedir?|nedeni|
İnsanda karaciğerin görevi nedir?|görevi|
İnsanda kromozom sayısında artışla ortaya çıkan genetik bozukluklar nasıl oluşur?|oluşur|
İnsanda meydana gelen mantar hastalıkları nelerdir?|mantar hastalıkları|
İnsanda üreme sisteminin doğumdan sonraki normal gelişimi nasıldır?|gelişimi|normal
İnsanda vücudun su dengesini sağlayan durumlar nelerdir?|durumlar|
İnsanda, göz merceğinin embriyonik gelişimi ne zaman gerçekleşir?|zaman|
İnsanda, kan kılcal damarlardan geçerken amonyak miktarı nasıl değişir?|değişir|
İnsanda, kan kılcal damarlardan geçerken glikoz miktarı nasıl değişir?|değişir|
İnsanda, kan kılcal damarlardan geçerken hangi olaylar gerçekleşir?|olaylar|
İnsanda, kan kılcal damarlardan geçerken karbon dioksit miktarı nasıl değişir?|değişir|
İnsanda, kan kılcal damarlardan geçerken oksijen miktarı nasıl değişir?|değişir|
İnsanda, kan kılcal damarlardan geçerken üre miktarı nasıl değişir?|değişir|
İnsanda, kan plazmasının ozmotik basıncının artmasının sebebi nedir?|sebebi|
İnsanda, midenin HCL ve sindirim enzimlerinden zarar görmesinin önlenmesi hangi olaylarla gerçekleşir?|olaylarla|
İnsanın iskelet kası dokusunda, uzun süreli egzersizde ADP molekülündeki değişim nasıl olmaktadır?|olmaktadır|
İnsanın iskelet kası dokusunda, uzun süreli egzersizde glikojen molekülündeki değişim nasıl olmaktadır?|olmaktadır|
İnsanın iskelet kası dokusunda, uzun süreli egzersizde inorganik fosfat molekülündeki değişim nasıl olmaktadır?|olmaktadır|
İnsanın iskelet kası dokusunda, uzun süreli egzersizde kreatin fosfat molekülündeki değişim nasıl olmaktadır?|olmaktadır|
İnsanın iskelet kası dokusunda, uzun süreli egzersizde laktik asit molekülündeki değişim nasıl olmaktadır?|olmaktadır|
İnsanın kan dolaşımında, kan basıncı atardamarlarda nasıl değişir?|değişir|
İnsanın kan dolaşımında, kan basıncı kılcal damarlarda nasıl değişir?|değişir|
İnsanın kan dolaşımında, kan basıncı toplardamarlarda nasıl değişir?|değişir|
İnsanın mide sıvısında bulunan yapılar nelerdir?|yapılar|
İnsanlarda dişi üreme sistemi nelerden oluşur?|oluşur|
İnsanlarda döllenme nasıl gerçekleşir?|gerçekleşir|
İnsanlarda kan proteinlerinin görevleri nelerdir?|görevleri|
İnsanlarda karbonmonoksit zehirlenmesi nasıl gerçekleşir?|gerçekleşir|
İnsanlarda, kan basıncının azalmasının sebebi nedir?|sebebi|
İnsanlarda, kan basıncının yükselmesinin sebebi nedir?|sebebi|
İnsanlarda, kan proteinlerinin görevleri nelerdir?|görevleri|
İnsülin salgılanması azalan bir insanda, hücrelere glikoz alımı nasıl değişmektedir?|değişmektedir|
İnsülin salgılanması azalan bir insanda, kandaki glikoz miktarı nasıl değişmektedir?|değişmektedir|
İnsülin salgılanması azalan bir insanda, karaciğerdeki glikoz miktarı nasıl değişmektedir?|değişmektedir|
İş birliğine dayalı davranışlar nelerdir?|davranışlar|
İstem dışı tepki olarak adlandırılan refleksler nelerdir?|refleksler|
İtai itai hastalığı nedir?|itai itai hastalığı|
İzlenim yoluyla edinilmiş davranışlar nelerdir?|davranışlar|
K vitamini eksikliğinde ortaya çıkabilecek hastalıklar nelerdir?|hastalıklar|
K vitaminin görevi nedir?|görevi|
Kaktüs bitkisinde yer alan parankima hücrelerinin görevi nedir?|görevi|
Kalın kütikula tabakası hangi bitkilerde bulunur?|bitkilerde|
Kalıtımda ayrılma kuralı nasıl ortaya çıkmıştır?|ortaya çıkmıştır|
Kalıtımda bağımsız açılım kuralı nedir?|bağımsız açılım kuralı|
Kalıtımda eksik baskınlık durumunda neler gözlenir?|gözlenir|
Kalıtımda eksik baskınlık nedir?|eksik baskınlık|
Kalıtımda eş baskınlık durumunda neler gözlenir?|gözlenir|
Kalıtımda eş baskınlık nedir?|eş baskınlık|
Kalıtımın kromozom teorisi nedir?|kromozom teorisi|
Kalıtsal çeşitliliği en az sağlayan çoğalma biçimleri nelerdir?|çoğalma biçimleri|
Kalıtsal karakterler hangi genler tarafından kontrol edilmektedir?|genler|
Kalıtsal refleks davranışları nelerdir?|davranışları|
Kalıtsal varyasyonların evrimleşme hızına etkisi nedir?|etkisi|
Kalıtsal varyasyonların sebepleri nelerdir?|sebepleri|
Kalp kapakçıkları kanın akış yönünü nasıl düzenler?|düzenler|
Kalp kasının özellikleri nelerdir?|özellikleri|
Kalpten çıkan bazı damarların çapının daha büyük olmasının sebebi nedir?|sebebi|
Kalsiyum mineralinin görevi nedir?|görevi|
Kan basıncını etkileyen faktörler nelerdir?|faktörler|
Kan grubunun homozigot mu yoksa heterozigot mu olduğuna nasıl karar verilir?|karar verilir|
Kan gruplarının kalıtımında cinsiyetin önemi nedir?|önemi|
Kan üretimini gerçekleştiren yapılar nelerdir?|yapılar|
Kanda solunum gazları hangi yollarla taşınır?|yollarla|
Kandaki karbon dioksit, dokulardan alveollere nasıl taşınır?|taşınır|
Kapalı tohumlu bitkilerde üreme nasıl gerçekleşir?|gerçekleşir|
Kapalı tohumlu bitkilere örnekler nelerdir?|örnekler|
Kapalı tohumlu bitkilerin özellikleri nelerdir?|özellikleri|
Kapalı tohumlu diploit bir bitkide hangi olaylar mitozla gerçekleşir?|olaylar|
Karasal bitkilerde tozlaşma nasıl gerçekleşmektedir?|gerçekleşmektedir|
Karasal biyomlara hangileridir?|karasal biyomlar|
Karasal biyomların özellikleri nelerdir?|özellikleri|
Karasal böceklerde vücudun su dengesini sağlayan durumlar nelerdir?|durumlar|
Karayosunu bitkisine ait özellikler nelerdir?|özellikler|
Karbon döngüsü nasıl olmaktadır?|olmaktadır|
Karbon döngüsünde karbon kaynakları ne olabilir?|olabilir|
Karbondioksit salınımını azaltmak için neler yapılabilir?|yapılabilir|
Karbonhidrat çeşitlerinden hangileri dehidrasyon sentezi sonucu oluşur?|karbonhidrat çeşitlerinden|
Karbonhidrat çeşitlerinden hangilernin yapısında glikozit bağı bulunmaz?|karbonhidrat çeşitlerinden|
Karbonhidratların görevleri nelerdir?|görevleri|
Karbonhidratların sindirilmesi sonucu oluşan ürünlerin özellikleri nelerdir?|özellikleri|
Karbonhidratların sindirimi, sindirim kanalının hangi bölümlerinde gerçekleşir?|bölümlerinde|
Karıncık ve kulakcıklardaki duvar kalınlıklarının farklı olmasının nedeni nedir?|nedeni|
Karışım hipotezi nedir?|karışım hipotezi|
Karyotip ne demektir?|demektir|
Kasılma sırasında kayan iplikler hipotezine göre hangi durumlar gerçekleşir?|durumlar|
Kasılma sırasında kayan iplikler hipotezine göre hangi durumlar gerçekleşmez?|durumlar|
Kavak, ceviz gibi ağaçlarda su ve minerallerin kökten yapraklara kadar taşınması hangi yollarla gerçekleşir?|yollarla|
Kavrama yoluyla edinilmiş davranışlar nelerdir?|davranışlar|
Kavrama yoluyla öğrenilen davranışlar nelerdir?|davranışlar|
Kayan iplikçikler modeline göre gevşeme sırasında hangi olaylar gözlenir?|olaylar|
Kayan iplikçikler modeline göre kasılma sırasında hangi olaylar gözlenir?|olaylar|
Kazık köke sahip bitkiler nelerdir?|bitkiler|
Kemiğin beslenmesini sağlayan yapılar nelerdir?|yapılar|
Kemiğin enine büyümesini sağlayan yapılar nelerdir?|yapılar|
Kemiğin onarımını sağlayan yapılar nelerdir?|yapılar|
Kemikte bulunan kan damarlarının ve sinirlerin geçtiği yapılar nelerdir?|yapılar|
Kemoototrof canlılar ne ile beslenir?|beslenir|
Kemoototrof canlılara örnekler nelerdir?|örnekler|
Kendileştirme ne demektir?|demektir|
Keseli memelilere ait olan özellikler nelerdir?|özellikler|
Kılcal damarlar ile doku sıvısı arasında madde alış verişini sağlayan faktörler nelerdir?|faktörler|
Kılcal damarlardaki kan basıncının atar damarlardan düşük olmasının nedeni nedir?|nedeni|
Kimyasal sindirimin süresi nelere bağlıdır?|bağlıdır|
Kimyasl sindirim ne demektir?|demektir|
Kısa gün bitkileri hangileridir?|kısa gün bitkileri|
Kiyazma nedir?|kiyazma|
Klinefelter sendromuna sahip bireylerin fenotipi nasıldır?|fenotipi|
Klinefelter sendromuna sahip bireylerin fiziksel görünüşleri nasıldır?|görünüşleri|fiziksel
Klinefelter sendromuna sahip bireylerin genotipi nasıldır?|genotipi|
Kloroplastlar birkinin neresinde bulunurlar?|bulunurlar|
Kloroplastların görevi nedir?|görevi|
Kofulun görevi nedir?|görevi|
Kök hücrelerindeki ozmotik basınç, toprak sıvısındakine göre az olduğu zaman hangi olaylar gerçekleşir?|olaylar|
Kökte mikoriza oluşumunun bitkiye sağladığı yararlar nelerdir?|yararlar|
Kollenkima hücreleri bitkinin hangi kısımlarında bulunur?|kısımlarında|
Kollenkima hücrelerinin görevleri nelerdir?|görevleri|
Kommensalist bir ortamda zamanla birey nasıl değişir?|değişir|
Komünite nedir?|komünite|
Komünite nedir?|komünite|
Komüniteye etki eden faktörler nelerdir?|faktörler|
Kömür gibi toprak altı fosilleri doğadaki hangi madde döngüsünü etkiler?|madde döngüsünü|
Konjugasyon nedir?|konjugasyon|
Konjugasyonun bakteriler açısından önemi nedir?|önemi|
Kontrol çaprazlaması nasıl yapılır?|yapılır|
Kontrol çaprazlaması nedir?|kontrol çaprazlaması|
Kromatit nedir?|kromatit|
Kromoplastlar bitkinin neresinde bulunurlar?|bulunurlar|
Kromoplastların görevi nedir?|görevi|
Kromozom mutasyonları nedir?|kromozom mutasyonları|
Kromozomların belirgin olarak görüldüğü evre hangi evredir?|evre|
Kromozomun sayısında gerçekleşen değişiklikler nelerdir?|değişiklikler|
Kromozomun yapısında gerçeklen değişiklikler nelerdir?|değişiklikler|
Ksilem dokunun bitkiye sağladığı yararlar nelerdir?|yararlar|
Küçük kan dolaşımı nedir?|küçük kan dolaşımı|
Küf mantarlarının görevi nedir?|görevi|
Kurak bölge bitkilerinde stomaların çoğunlukla yaprağın alt epidermisinde bulunmasının nedeni nedir?|nedeni|
Kuraklık nedir?|kuraklık|
Kural olarak genetik çeşitliliği artıran olaylar nelerdir?|olaylar|
Küresel ekosistem nedir?|küresel ekosistem|
Küresel iklim değişikliği nedir?|küresel iklim değişikliği|
Küresel iklim değişiklikleri ne demektir?|demektir|
Kuş ve sürüngenlerde embriyonun gaz alışveriişini sağlayan yapılar nelerdir?|yapılar|
Kuşlarda bulunan hava keselerinin görevleri nelerdir?|görevleri|
Kuşlarda izlenim yoluyla öğrenme nasıl gerçekleşir?|gerçekleşir|
Kuşların uçmasına doğrudan katkısı olan adaptasyonlar nelerdir?|adaptasyonlar|
Küstüm otu bitkisine dokunulduğunda yapraklarını kapatmasının sebebi nedir?|sebebi|
Kütikula tabakası bitkiye ne yarar sağlar?|yarar sağlar|
Lalelerin yapraklarının farklı sıcaklıklarda açılıp kapanmasının sebebi nedir?|sebebi|
Lamarck'ın görüşlerinin evrim araştırmalarına katkısı nasıl olmuştur?|olmuştur|
Lenf damarlarındaki lenf sıvısının hareketini etkileyen faktörler nelerdir?|faktörler|
