Biology Open-Ended Questions||
Lenf dolaşımının görevleri nelerdir?|görevleri|
Lenf sıvısı ile kan sıvısı arasındaki farklılıklar nelerdir?|farklılıklar|
Lenf sıvısında hangi moleküller bulunur?|moleküller|
Lizozomun görevi nedir?|görevi|
Lökoplastların görevi nedir?|görevi|
Magnezyum eksikliğinde bitki hücrelerinde ne gerçekleşir?|gerçekleşir|
Mantar kambiyumu hangi bitkilerde bulunur?|bitkilerde|
Mantar kambiyumunun görevi nedir?|görevi|
Mantarın insan ve diğer organizmalar için faydaları nelerdir?|faydaları|
Mantarın insan ve diğer organizmalar için zararları nelerdir?|zararları|
Mantarlar hangi amaçlarla kullanılır?|amaçlarla|
Mantarlar neden önemlidir?|önemlidir|
Mantarlarda bulunan hiflerin görevi nedir?|görevi|
Mantarlarda üreme nasıl gerçekleşir?|gerçekleşir|
Mantarların ekosisteme katkısı nedir?|katkısı|
Mantarların yapısında neler bulunur?|bulunur|
Mantarların yapısında neler bulunur?|bulunur|
Mayoz bölünme hangi özelliği ile mitoz bölünmeye benzer?|özelliği|
Mayoz bölünme ile mitoz bölünme arasındaki farklar nelerdir?|farklar|
Mayoz bölünme nedir?|mayoz bölünme|
Mayoz bölünmede çeşitliliği sağlayan olaylar nelerdir?|olaylar|
Mayoz bölünmede gerçekleşen aşamalar nelerdir?|aşamalar|
Mayoz bölünmede tetrat denilen yapı ne zaman oluşur?|zaman|
Mayoz bölünmenin interfaz evresinde ne gerçekleşir?|gerçekleşir|
Mayoz I bölünmesinin anafaz aşamasında gerçekleşen olaylar nelerdir?|olaylar|
Mayoz I bölünmesinin metafaz aşamasında gerçekleşen olaylar nelerdir?|olaylar|
Mayoz I bölünmesinin profaz aşamasında gerçekleşen olaylar nelerdir?|olaylar|
Mayoz I bölünmesinin telofaz aşamasında gerçekleşen olaylar nelerdir?|olaylar|
Mayoz I ve Mayoz II de gerçekleşen ortak olaylar nelerdir?|olaylar|ortak
Mayoz II bölünmesi nasıl gerçekleşir?|gerçekleşir|
Mayoz II sonunda oluşan her bir hücrenin DNA miktarı ne olur?|olur|
Mayoz ve mitoz bölünme arasındaki farklar nelerdir?|farklar|
Mayozda iki kez gerçekleşen olaylar nelerdir?|olaylar|
Mekanik sindirim ne demektir?|demektir|
Melezleme nedir?|melezleme|
Memelilerde hayvanların nefronlarında Henle kulpu daha kısa olsaydı ne gibi olaylar gözlenirdi?|olaylar|
Memelilerde hayvanların nefronlarında Henle kulpunun uzun olmasının sebebi nedir?|sebebi|
Memelilerde, atardamarları toplardamarlara bağlayan kılcal damarlar boyunca, kan basıncı azamayıp sabit kalsaydı hangi durumlar gerçekleşirdi?|durumlar|
Memelileri diğer omurgalılardan ayıran özellikler nelerdir?|özellikler|
Memelilerin sıcak kanlı canlı olmasının nedeni nedir?|nedeni|
Memelilerin ve kuşların solunum organları arasındaki farklılıklar nelerdir?|farklılıklar|
Mendel kalıtımı hangi kalıtım çeşitlerini açıklayamaz?|kalıtım çeşitlerini|
Mendel'in kalıtımla ilgili geliştirdiği ilkeler nelerdir?|ilkeler|
Menstrual döngü boyunca yumurtalıkta meydana gelen değişiklikler nelerdir?|değişiklikler|
Menstrual döngü nedir?|menstrual döngü|
Menstrual döngüde yumurtalıkta kaç evre gerçekleşir?|evre|
Menstrual döngünün foliküler evresinde ne gerçekleşir?|gerçekleşir|
Menstrual döngünün korpus luteum evresinde ne gerçekleşir?|gerçekleşir|
Menstrual döngünün menstruasyon evresinde ne gerçekleşir?|gerçekleşir|
Menstrual döngünün ovulasyon evresinde ne gerçekleşir?|gerçekleşir|
Meristem dokunun görevi nedir?|görevi|
Meristem dokunun özellikleri nelerdir?|özellikleri|
Meyvenin olgunlaşmasında etkili olan hormonlar nelerdir?|hormonlar|
Mide özsuyunun içeriğinde neler bulunur?|bulunur|
Mikoriza nedir? |mikoriza|
Mikroskopta inceleme nasıl yapılır?|yapılır|
Mimikri nedir?|mimikri|
Minerallerin görevi nedir?|görevi|
Minimum yasası nedir?|minimum yasası|
Mitokondrinin görevi nedir?|görevi|
Mitoz bölünme hangi aşamalardan oluşmaktadır?|aşamalardan|
Mitoz bölünme ile mayoz I bölünmesinin ortak özellikleri nelerdir?|özellikleri|ortak
Mitoz bölünme nedir?|mitoz bölünme|
Mitoz bölünmenin anafaz evresinde gerçekleşen olaylar nelerdir?|olaylar|
Mitoz bölünmenin evrimleşme hızına etkisi nedir?|etkisi|
Mitoz bölünmenin interfaz evresinde ne gerçekleşir?|gerçekleşir|
Mitoz bölünmenin metafaz evresinde gerçekleşen olaylar nelerdir?|olaylar|
Mitoz bölünmenin mitotik evresinde ne gerçekleşir?|gerçekleşir|
Mitoz bölünmenin profaz evresinde gerçekleşen olaylar nelerdir?|olaylar|
Mitoz bölünmenin sitoplazma bölünmesi kısmı bitki hücrelerinde nasıl gerçekleşir?|gerçekleşir|
Mitoz bölünmenin telofaz evresinde gerçekleşen olaylar nelerdir?|olaylar|
Modern genetik uygulamalarında kullanılan yöntemlere örnekler nelerdir?|örnekler|
Modifikasyonun evrimleşme hızına etkisi nedir?|etkisi|
Monohibrit bireylerde görülen özellik nedir?|özellik|
Monohibrit çaprazlama nedir?|monohibrit çaprazlama|
Morula nedir?|morula|
Mutasyonlar genetik çeşitliliği nasıl etkiler?|etkiler|
Mutasyonların oluşuma sebep olan faktörler nelerdir?|faktörler|
Mutualist bir ortamda zamanla birey sayısı nasıl değişir?|değişir|
Mutualist yaşayan hayvanlara örnekler nelerdir?|örnekler|
Nefronların işlevlerinden biri olan salgılamanın önemi nedir?|önemi|
Nesli tehlikede olan türler nelerdir?|türler|
Nitrifikasyon olayı nedir?|nitrifikasyon olayı|
Nokta mutasyonu nedir?|nokta mutasyonu|
Normal bir insanda doku sıvısının artmasının sebebi nedir?|sebebi|
Normal bir insanda, doku sıvısının miktarının artmasından sonra yeniden düzenlenmesini sağlayan durumlar nelerdir?|durumlar|
Normal bir insanda, kemiklerin sertleşmesi hangi maddelerin artması sonucu oluşur?|maddelerin|
Nöronlara desteklik veren ve nöronların beslenmesini sağlayan hücreler nelerdir?|hücreler|
Nötr gün bitkileri hangileridir?|nötr gün bitkileri|
Nükleer enerji nedir?|nükleer enerji|
Nükleer santral nedir?|nükleer santral|
Nükleik asitlerin görevleri nelerdir?|görevleri|
Nükleotitin yapısında neler bulunur?|bulunur|
Odada oksijen bulunmasına rağmen insanların sobadan sızan karbon monoksit gazından zehirlenmelerinin nedeni nedir?|nedeni|
Odunsu bitkilerde suyun köklerden yaprağa taşınmasında etkili olan faktörler nelerdir?|faktörler|
Odunsu bitkilerin gövde yapısı nasıldır?|gövde yapısı|
Öğrenilmiş davranış nedir?|öğrenilmiş davranış|
Ökaryot hücrelerde bulunan organeller nelerdir?|organeller|
Ökaryot hücrelerin özellikleri nelerdir?|özellikleri|
Ökaryotik hücrelerde, hücre bölünmesi nasıl gerçekleşir?|gerçekleşir|
Oksijen yetersizliğinde ATP üretebilecek kaslar hangileridir?|kaslar|
Oksijenin kanla taşınması nasıl gerçekleşir?|gerçekleşir|
Oksijenin tohumun çimlenmesine etkisi nedir?|etkisi|
Oksin hormonun bitkilerin büyümesine etkileri nelerdir?|etkileri|
Okyanus akıntıları biyomların yeryüzündeki dağılışını nasıl etkiler?|etkiler|
Okyanuslardaki sirkülasyon, kabukluların küresel boyuttaki dağılımını nasıl etkiler?|etkiler|
Omurgasız hayvanlar hangileridir?|hayvanlar|omurgasız
Oogenez nedir?|oogenez|
Oogenez nerede gerçekleşir?|gerçekleşir|
Oogenez sonucunda kaç tane işlevsel hücre oluşur?|hücre|işlevsel
Organizmaların yeryüzündeki dağılımını etkileyen faktörler nelerdir?|faktörler|
Organogenez nedir?|organogenez|
Ormanların ekosistem olarak değerini kaybetmesine neden olan durumlar nelerdir?|durumlar|
Ormanların görevleri nelerdir?|görevleri|
Orta kulakta bulunan yapılar nelerdir?|yapılar|
Osmotik basıncın artmasının sebebi nedir?|sebebi|
Osmoz nedir?|osmoz|
Östron ve progesteron hormonlarının görevleri nelerdir?|görevleri|
Otçul memelilerin bağırsaklarının etçil memelilere göre daha uzun olmasının avantajı nedir?|avantajı|
Otçul ve etçilllerin diş yapılarındaki farklılıkların nedeni nedir?|nedeni|
Ototrof canlılar ne ile beslenir?|beslenir|
Ötrofikasyon nedir?|ötrofikasyon|
Otsu bitkilerin gövde yapısı nasıldır?|gövde yapısı|
Oynar eklemler hangileridir?|oynar eklemler|
Ozmotik basınç ile emme kuvveti arasındaki ilişki nedir?|ilişki|
Ozon tabakasının varlığı canlılara nasıl bir yarar sağlamaktadır?|yarar sağlamaktadır|
Pankreas özsuyunun içeriğinde neler bulunur?|bulunur|
Pankreasın salgıladığı hormonlar nelerdir?|hormonlar|
Paralel damarlanma gösteren bitkiler nelerdir?|bitkiler|
Parankima hücrelerinin görevleri nelerdir?|görevleri|
Parankima hücrelerinin özellikleri nelerdir?|özellikleri|
Parazit yaşam birliği olan bir ortamda zamanla birey sayısı nasıl değişir?|değişir|
Partenogenez nedir?|partenogenez|
Partenogenezle üreyen canlılar nelerdir?|canlılar|
pH değeri organizma için neden önemlidir?|önemlidir|
Plankton nedir?|plankton|
Plasentanın görevleri nelerdir?|görevleri|
Polisakkarit çeşitlerinden hangileri yapı maddesi olarak kullanılır?|polisakkarit çeşitlerinden|
Popülasyon büyümesini etkileyen faktörler nelerdir?|faktörler|
Popülasyon nedir?|popülasyon|
Popülasyonların gen havuzlarındaki değişim ne zaman gerçekleşir?|zaman|
Popülasyonun büyüklüğü ne zaman dengelenir?|zaman|
Progesteron hormonunun görevi nedir?|görevi|
Prokaryot hücrelerde bulunan organeller nelerdir?|organeller|
Prokaryot hücrelerinin en belirgin özelliği nedir?|özelliği|en belirgin
Prokaryot ve ökaryot hücrelerde ortak yapılar nelerdir?|yapılar|ortak
Prokaryotik hücrelerde, hücre bölünmesi nasıl gerçekleşir?|gerçekleşir|
Protein sentezinde DNA'dan başlayan bilgi akışı nasıl oluşturulmaktadır?|oluşturulmaktadır|
Proteinlerin görevleri nelerdir?|görevleri|
Proteinlerin sindirimi nasıl gerçekleşir?|gerçekleşir|
Proteinlerin sindirimi sindirim kanalının hangi bölümlerinde gerçekleşir?|bölümlerinde|
Protista alemine ait canlılar nelerdir?|canlılar|
Protistalar organizmların hayatlarını nasıl etkiler?|etkiler|
Protistlerin insanlar açısından tehlikeli olan türleri hangileridir?|türleri|
Protistlerin özellikleri nelerdir?|özellikleri|
Protozoon nedir?|protozoon|
Protozoonların bitkilere benzer özellikleri nedir?|özellikleri|
Protozoonların hayvanlara benzer özellikleri nelerdir?|özellikleri|benzer
Protozoonların özellikleri nelerdir?|özellikleri|
Protrombinin trombine dönüşmesini sağlayan pıhtılaşma faktörleri nelerdir?|pıhtılaşma faktörleri|
Punnett karesi yöntemi ne için kullanılır?|kullanılır|
Radyasyon nedir?|radyasyon|
Radyasyon sonucu oluşabilecek kanser türleri nedir?|kanser türleri|
Radyasyondan nasıl korunabiliriz?|korunabiliriz|
Radyasyonun canlılar üzerindeki etkileri nelerdir?|etkileri|
Radyoaktif madde nedir?|radyoaktif madde|
Rejenerasyonla üreme hangi canlılarda görülür?|canlılarda|
Rejenerasyonla üreme nasıl gerçekleşir?|gerçekleşir|
Rejenerasyonla üremenin evrimleşme hızına etkisi nedir?|etkisi|
Renk körü olan bir babayla normal bir anneden doğacak çocukların genotipleri nasıldır?|genotipleri|
Renkli görmemizi sağlayan yapılar nelerdir?|yapılar|
Ribozomun görevi nedir?|görevi|
RNA çeşitlerinin tümünde olan ortak özellikler nelerdir?|özellikler|ortak
RNA molekülünün görevi nedir?|görevi|
RNA'nın yapısında hangi moleküller bulunur?|moleküller|
Rüzgarın bitki ve hayvanların yeryüzündeki dağılımına etkisi nedir?|etkisi|
Rüzgarla tozlaşan bitkilerde tozlaşma sırasında hangi olaylar gözlenmez?|olaylar|
Saçak köke sahip bitkiler nelerdir?|bitkiler|
Sadece bitkilerin hücre bölünmesinde görülen olay nedir?|olay|
Sadece erkek bireylerde görülen kalıtsal hastalıklar hangileridir?|hastalıklar|
Safranın görevleri nedir?|görevleri|
Sağlıklı bir insanda idrar miktarının artmasına sebep olan durumlar ne olabilir?|olabilir|
Sağlıklı bir insanda vücudun su içeriğinin kontrolünü hangi organlar yapar?|organlar|
Sağlıklı bir insanda yumurtalıklardan salgılanan hormonlar nelerdir?|hormonlar|
Sağlıklı bir insanın kan serumunda hangi moleküller bulunur?|moleküller|
Sağlıklı bir insanın nefronlarında gerçekleşen olaylar nelerdir?|olaylar|
Şartlanma yoluyla edinilmiş davranışlar nelerdir?|davranışlar|
Savan ne demektir?|demektir|
Segmentasyon nedir?|segmentasyon|
Segmentasyon nedir?|segmentasyon|
Segmentasyon sonucu oluşan hücrelerin görevi nedir?|görevi|
Şeker metabolizmasını düzenleyen hormonlar nelerdir?|hormonlar|
Sempatik sinir sistemi nedir?|sempatik sinir sistemi|
Sentrozom hangi hücrelerde bulunmaz?|hücrelerde|
Sentrozomun görevi nedir?|görevi|
Sera etkisi nasıl oluşur?|oluşur|
Sera etkisi ne zaman oluşur?|zaman|
Sıcak ve kuru bir ortamda bulunan ve yetrli miktarda su alamayan bir insanın vücudunda ne gibi durumlar oluşur?|durumlar|
Sıcaklığın bitki ve hayvanların yeryüzündeki dağılımına etkisi nedir?|etkisi|
Sıcaklığın değişmesiyle meydana gelen modifikasyon türleri nelerdir?|türleri|modifikasyon
Sıcaklığın tohumun çimlenmesine etkisi nedir?|etkisi|
Sıkılan parfümün kokusu nasıl algılanır?|algılanır|
Simbiyoz ne demektir?|demektir|
Sindirimin amacı nedir?|amacı|
Sınıflandırma birimleri nelerdir?|sınıflandırma birimleri|
Sınıflandırma birimlerinde türden aleme gidildikçe hangi değişiklikler gözlenir?|değişiklikler|
Sınıflandırmada temel birim olarak neden tür kabul edilmiştir?|kabul edilmiştir|
Sinoviyal sıvı hangi eklemlerde bulunur?|eklemlerde|
Sıtma hastalığı hangi yollarla bulaşır?|yollarla|
Sıtma nasıl bir hastalıktır?|hastalıktır|
Sitokinez nedir?|sitokinez|
Sitokinin hormonunun bitkilerin büyümesine etkileri nelerdir?|etkileri|
Sitoplazma içerisinde bulunan endoplazmik retikulumun görevi nedir?|görevi|
Sitoplazma içerisinde bulunan Golgi cisimciğinin görevi nedir?|görevi|
Sklerenkima hücrelerinin görevi nedir?|görevi|
Soluk alıp verme hızını etkileyen faktörler nelerdir?|faktörler|
Soluk alma sırasında akciğerde nasıl bir değişim gözlenir?|değişim|
Soluk alma sırasında diyaframda nasıl bir değişim gözlenir?|değişim|
Soluk verme sırasında akciğerde nasıl bir değişim gözlenir?|değişim|
Soluk verme sırasında diyaframda nasıl bir değişim gözlenir?|değişim|
Soluk vermenin homeostasiye etkisi nedir?|etkisi|
Solungaçların özellikleri nelerdir?|özellikleri|
Solunum pigmentleri nelerdir?|solunum pigmentleri|
Solunum pigmentlerinin görevleri nelerdir?|görevleri|
Sonbahar odununun koyu renkli halkalar şeklinde görülmesinin nedeni nedir?|nedeni|
Sonradan kazanılan davranışlar hangileridir?|davranışlar|
Sonradan kazanılan pasif bağışıklık örnekleri nelerdir?|örnekleri|
Sosyal davranış nedir?|sosyal davranış|
Soyağacı analizi nasıl yapılmaktadır?|yapılmaktadır|
Soyağacı oluşturulurken kullanılan semboller nelerdir?|semboller|
Sperm hücresinin yapısı nasıldır?|yapısı|
Spermatogenez nedir?|spermatogenez|
Spor ve tohum arasındaki farklar nelerdir?|farklar|
Sporla üreme hangi canlılarda görülür?|canlılarda|
Sporla üreme nasıl gerçekleşir?|gerçekleşir|
Sporofit nedir?|sporofit|
Su döngüsünün basamakları nedir?|basamakları|
Su kirliliğine sebep olan faktörler nelerdir?|faktörler|
Su kirliliğini durdurmak için neler yapılabilir?|yapılabilir|
Su ve pH canlıların çeşitliliğini nasıl etkiler?|etkiler|
Su yosunları ve mantarlar nasıl bir ortak yaşama sahiptir?|yaşama|ortak
Sucul biyomlar hangileridir?|sucul biyomlar|
Sucul biyomlarda yaşayan canlıların dağılımını etkileyen faktörler nelerdir?|faktörler|
Suda çözünen vitaminlerin özellikleri nelerdir?|özellikleri|
Süksesyon ne demektir?|demektir|
Sulak alanların çevreye etkisi nedir?|etkisi|
Süper dişi sendromuna sahip bireylerin fenotipi nasıldır?|fenotipi|
Süper dişi sendromuna sahip bireylerin fiziksel görünüşleri nasıldır?|görünüşleri|fiziksel
Süper dişi sendromuna sahip bireylerin genotipi nasıldır?|genotipi|
Sürdürülebilirlik ne demektir?|demektir|
Suyun bitki ve hayvanların yeryüzündeki dağılımına etkisi nedir?|etkisi|
Suyun yapısı nasıldır?|suyun yapısı|
Taç yaprağın görevi nedir?|görevi|
Taksonomi nedir?|taksonomi|
Tansiyonu ölçülecek olan kişinin kolunun konumunun, kalbin hizasında ve yere paralel olarak tutulmasının sebebi ne olabilir?|olabilir|
Tatlı su balığı tuzlu suda neden yaşayamaz?|yaşayamaz|
Tek çenekli bitkilerin damar yaspısı nasıldır?|damar yapısı|
Tek çenekli bitkilerin gövde yapısı nasıldır?|gövde yapısı|
Temel dokuda bulunan hücreler nelerdir?|hücreler|
Teori ve kanun arasındaki fark nedir?|fark|
Terlemenin homeostasiye etkisi nedir?|etkisi|
Testislerin vücut dışında olmasının nedeni nedir?|nedeni|
Testosteron hormonu erkeklerde ne gibi değişikliklere yol açar?|değişikliklere|
Tiroit bezinin hormon salgısı azalırsa hangi sağlık sorunlarıyla karşılaşılır?|sağlık sorunlarıyla|
Tohum hangi kısımlardan oluşmaktadır?|kısımlardan|
Tohumlar nasıl uzun süre saklanır?|uzun süre|
Tohumlu bitkilerin temel kısımları nelerdir?|kısımları|temel
Tohumsuz bitkilerde üreme nasıl gerçekleşir?|gerçekleşir|
Tohumun yapısında neler bulunur?|bulunur|
Tomurcuklanarak üreme hangi canlılarda görülür?|canlılarda|
Tomurcuklanarak üreme nasıl gerçekleşir?|gerçekleşir|
Tomurcuklanma hangi üreme çeşidine örnektir?|üreme çeşidine|
Toprağın bitki ve hayvanların yeryüzündeki dağılımına etkisi nedir?|etkisi|
Toprağın sürdürülebilirliğinin sağlanması için neler yapılabilir?|yapılabilir|
Toprak kirliliği nedir?|toprak kirliliği|
Toprak kirliliğine sebep olan faktörler nelerdir?|faktörler|
Toprak kirliliğini durdurmak için neler yapılabilir?|yapılabilir|
Tozlaşmada görevli olan bitki kısımları nelerdir?|bitki kısımları|
Transdüksiyon nedir?|transdüksiyon|
Transformasyon nedir?|transformasyon|
Tükenebilen doğal kaynaklara örnekler nelerdir?|örnekler|
Tükenmeyen doğal kaynaklara örnekler nelerdir?|örnekler|
Tükürüğün görevleri nelerdir?|görevleri|
Tür içerisinde genetik çeşitliliğin azalması türün devamlılığını nasıl etkiler?|etkiler|
Tür içi rekabeti etkileyen faktörler nelerdir?|faktörler|
Türkiye'nin biyolojik çeşitlilik açısından zengin olmasının nedenleri nelerdir?|nedenleri|
Türler arası rekabet nedir?|türler arası rekabet|
Turner sendromuna sahip bireylerin fenotipi nasıldır?|fenotipi|
Turner sendromuna sahip bireylerin fiziksel görünüşleri nasıldır?|görünüşleri|fiziksel
Turner sendromuna sahip bireylerin genotipi nasıldır?|genotipi|
Turuncu alarm nedir?|turuncu alarm|
Tuz oranı yüksek olan sularda yaşayan balıkların böbreklerinde, glomerulusun fazla gelişmemesinin sebebi nedir?|sebebi|
Tuzlu suda yaşayan balıklarda su kaybını önlemek için hangi yapısal adaptasyonlar gelişmiştir?|adaptasyonlar|yapısal
Üreme hücrelerinin oluşturulmasında mayoz yerine mitoz bölünme gerçekleşseydi neler olabilirdi?|olabilirdi|
Üreticilerin fideleri seyrek dikmelerinin nedeni nedir?|nedeni|
Uterusu etkileyen hormonlar nelerdir?|hormonlar|
Uyartı iletimi sırasında sinir hücresinde gerçekleşen depolarizasyon olayı nasıl gerçekleşir?|gerçekleşir|
Uyartı iletimi sırasında sinir hücresinde gerçekleşen polarizasyon olayı nasıl gerçekleşir?|gerçekleşir|
Uyartı iletimi sırasında sinir hücresinde gerçekleşen repolarizasyon olayı nasıl gerçekleşir?|gerçekleşir|
Uzun gövdeli ağaçlarda suyun iletimi nasıl gerçekleşmektedir?|gerçekleşmektedir|
Uzun gün bitkileri hangileridir?|uzun gün bitkileri|
Varlıkları canlı olarak nitelendirebilmek için hangi özelliklerin onlarda bulunması gerekir?|özelliklerin|
Vasopressin ( ADH) hormonunun salgılanmasını uyaran durumlar nelerdir?|durumlar|
Vejetatif çekirdeğin polen oluşumuna etkisi nedir?|etkisi|
Vejetatif üreme hangi canlılarda görülür?|canlılarda|
Vejetatif üreme nasıl gerçekleşir?|gerçekleşir|
Vejetatif üremenin evrimleşme hızına etkisi nedir?|etkisi|
Villus ve mikrovillusların sindirim sistemine sağladığı yarar nedir?|yarar|
Virüs nedir?|virüs|
Virüslerin neden olduğu hastalıklar nelerdir?|hastalıklar|
Virüslerin zorunlu hücre içi parazit olmasının nedeni nedir?|nedeni|
Vitaminlerin görevleri nelerdir?|görevleri|
Vitellus kesesi ne işe yarar?|işe yarar|
Vücut sıcaklığının kontrolünde hangi sistemler rol oynar?|sistemler|
Vücutta dengenin sağlanmasında görev alan yapılar nelerdir?|yapılar|
Vücutta özel savunma (antijen-antikor reaksiyonu) hangi durumlarda gerçekleşir?|durumlarda|
X kromozomuna bağlı çekinik genlerle kalıtılan hastalıklar nelerdir?|hastalıklar|
X kromozomundaki genlerle kalıtılan eşeye bağlı karakterler nelerdir?|karakterler|
Y kromozomu ile kalıtılan hastalıklar hangileridir?|hastalıklar|
Y kromozomundaki genlerle kalıtılan eşeye bağlı karakterler nelerdir?|karakterler|
Yağda çözünen vitaminlerin özellikleri nelerdir?|özellikleri|
Yağların görevleri nelerdir?|görevleri|
Yağların sindirimi nasıl gerçekleşir?|gerçekleşir|
Yağların sindirimi sindirim kanalının hangi bölümlerinde gerçekleşir?|bölümlerinde|
Yağmurlu havalarda solucanların toprak üstüne çıkmasının sebebi nedir?|sebebi|
Yapay döllenmenin hayvan ıslahındaki önemi nedir?|önemi|
Yapay kirleticiler nelerdir?|yapay kirleticiler|
Yapay seleksiyon örnekleri nelerdir?|örnekleri|
Yaprak döken bir ağacın gövdesine bir çivi çaksak, 10 yıl sonra ağacın gövdesinde hangi durumlar gözlenir?|durumlar|
Yapraklarda bulunan stomaların görevleri nelerdir?|görevleri|
Yaşamlarında hiyerarşik düzen olmayan hayvan toplulukları hangileridir?|hayvan toplulukları|
Yassı solucanlar nasıl hareket ederler?|hareket ederler|
Yenilenebilir doğal kaynaklar hangileridir?|doğal kaynaklar|yenilenebilir
Yerküre üzerindeki milyonlarca farklı canlının çeşitliliği nasıl sağlanmaktadır?|sağlanmaktadır|
Yeryüzündeki su miktarını arttıran olaylar nelerdir?|olaylar|
Yoğun bir egzersiz sonucu insandaki soluk alıp verme hızı nasıl değişir?|değişir|
Yoğun bir egzersiz sonucu insanın hücrelerindeki ADP miktarı nasıl değişir?|değişir|
Yoğun bir egzersiz sonucu insanın kanındaki karbon dioksit miktarı nasıl değişir?|değişir|
Yoğun bir egzersiz sonucu insanın kanındaki oksijen miktarı nasıl değişir?|değişir|
Yoğun bir egzersiz sonucu, insanın kanındaki pH seviyesi nasıl değişir?|değişir|
Yorulan bir kasta hangi durumlar gözlenir?|durumlar|
Yüksek dozda glikoz verilen sağlıklı bir insanın kanındaki glikoz miktarı nasıl değişir?|değişir|
Yükseltiler karasal biyomlara nasıl etki eder?|etki eder|
Yumurta hücresinin yapısı nasıldır?|yapısı|
Yumurta ve sperm oluşumu hangi bölünme ile sağlanır?|bölünme|
Yuvarlak solucanların yapısı nasıldır?|yapısı|
Zigot segmentasyon aşamlarından blastula evresinde ne gerçekleşir?|gerçekleşir|
Zigot segmentasyon aşamlarından gastrula evresinde ne gerçekleşir?|gerçekleşir|
Zigotun segmentasyon aşamaları nelerdir?|segmentasyon aşamaları|
Zooplankton nedir?|zooplankton|
