Geography Open-Ended Questions||
Erozyonun oluşmasına yol açan etmenler nelerdir?|etmenler|
Erozyonun sonuçları nelerdir?|sonuçları|
Fabrikalar ve sanayi kuruluşları doğal çevreyi nasıl olumsuz yönde etkilemektedir?|yönde|olumsuz
Fabrikalaşmanın, tarımsallığa karşı avantajları nelerdir?|avantajları|
Falezler nasıl oluşur?|oluşur|
Farklı yarım kürelerde aynı tarım ürününün yılın farklı dönemlerinde olgunlaşmasının birincil nedeni nedir?|nedeni|birincil
Fiyord kıyı tipine yüksek enlemlerde rastlanmasının sebebi nedir?|sebebi|
Fiziki haritalarda dağların yüksekliği incelenirken nelere dikkat edilmelidir?|dikkat edilmelidir|
Fiziki haritalarda denizlerin ve okyanusların derinliği incelenirken nelere dikkat edilmelidir?|dikkat edilmelidir|
Fiziksel ayrışmanın karasal iklimde daha fazla olmasının sebebi nedir?|sebebi|
Fön rüzgarları nasıl oluşur?|oluşur|
Fosil yakıt kullanımı çevre kirliliğini nasıl etkiler?|etkiler|
Fosil yakıt kullanımındaki artış doğal sistemleri nasıl etkilemektedir?|etkilemektedir|
Fosiller bize nasıl bilgiler sağlar?|bilgiler|
Fosiller nasıl oluşur?|oluşur|
Fotosentez hangi amaçla gerçekleştirilir?|amaçla|
Fotosentez nasıl gerçekleşir?|gerçekleşir|
Fotosentez nasıl gerçekleşir?|gerçekleşir|
Fotosentezin gerçekleşebilmesi için gerekli koşullar nelerdir?|koşullar|gerekli
GAP projesi bölgeye nasıl kazançlar sağlamaktadır?|kazançlar|
Gebzedeki hızlı kentleşmenin sebep olduğu sosyoekonomik sorunlar nelerdir?|sorunlar|sosyoekonomik
Gebzenin coğrafi konumu sanayinin gelişmesini nasıl etkilemiştir?|etkilemiştir|
Gebzenin yoğun göç almasının sebepleri nelerdir?|sebepleri|
Gece ve gündüz arasındaki fark kutuplara doğru gidildikçe neden artar?|artar|
Gece ve gündüz süreleri yıl boyunca neden değişir?|değişir|
Geçici yerleşim birimlerinde temel geçim kaynağını hayvancılık olmasının sebepleri nelerdir?|sebepleri|
Geleneksel festivaller turizmi nasıl etkiler?|etkiler|
Gelgit genliği hangi koşullara göre değişiklik gösterir?|koşullara|
Gelgit gücüyle elektrik nasıl elde edilir?|elde edilir|
Gelgit nasıl oluşur?|oluşur|
Gelgit olayının fazla etkili olduğu bir kıyı kesiminde yer şekilleri bu olaydan nasıl etkilenir?|etkilenir|
Gelgitler nasıl oluşur?|oluşur|
Gelişmemiş ülkeler doğal kaynaklarını nasıl kullanırlar?|kullanırlar|
Gelişmemiş ülkelerin ithalat politikaları nasıldır?|ithalat politikaları|
Gelişmemiş ülkelerinn ihracat politikaları nasıldır?|ihracat politikaları|
Gelişmiş şehirler neden genel olarak orta kuşakta yer almaktadır?|yer almaktadır|genel olarak
Gelişmiş ülkelerin ihracat politikaları nasıldır?|ihracat politikaları|
Gelişmiş ülkelerin ithalat politikaları nasıldır?|ithalat politikaları|
Gelişmiş ülkelerin nüfus özellikleri nelerdir?|nüfus özellikleri|
Gerçek sıcaklık ile indirgenmiş sıcaklık arasında nasıl farklar vardır?|farklar|
Geri dönüşüm çevre kirliliğini nasıl azaltır?|azaltır|
Geri dönüşüm ile nasıl enerji tasarrufu sağlanır?|enerji tasarrufu|
Geri dönüşümün ekonomik olarak faydaları nelerdir?|faydaları|
Gideğen nasıl oluşur?|oluşur|
Glasiye nasıl oluşur?|oluşur|
Göç hareketlerinin nedenleri nelerdir?|nedenleri|
Göç ve kentleşme arasında nasıl bir ilişki vardır?|ilişki|
Göç veren yerlerdeki fırsatlar nelerdir?|fırsatlar|
Gölgelendirme yöntemi nasıl uygulanır?|uygulanır|
Greenpeace çevre ve ekosistemi koruma bilincini artırmak adına nasıl eylemlerde bulunmaktadır?|eylemlerde|
Greenpeace'İn kuruluş amacı nedir?|kuruluş amacı|
Güneş enerjisi kullanmanın dezavantajları nelerdir?|dezavantajları|
Güneş enerjisinin yeryüzündeki en temel enerji olmasının sebebi nedir?|sebebi|
Güneş ışınlarının düşme açısının yıl boyunca değişmesi, o yerleşim yerinde nelere yol açar?|yol açar|
Güneş ışınlarının geliş açısı ile enerji potansiyelleri arasında nasıl bir ilişki vardır?|ilişki|
Güneş sabiti nasıl belirlenir?|belirlenir|
Güneşten gelen enerji nasıl dağılır?|dağılır|
Günlük sıcaklık farkları nasıl oluşur?|oluşur|
Günümüzde dünyanın farklı yerlerinde görülen türk kültüründeki farklılıklar nelerdir?|farklılıklar|
Günümüzde internetin ticaret üzerinde nasıl bir etkisi vardır?|etkisi|
Günümüzde tüketimi arttırıcı faktörler nelerdir?|faktörler|tüketimi arttırıcı
Günümüzde uzay teknolojilerinin askeri etkileri nasıldır?|etkileri|askeri
Günümüzde uzay teknolojilerinin politik etkileri nasıldır?|etkileri|politik
Gurup sürelerinin kutuplarda uzun olması nasıl açıklanabilir?|açıklanabilir|
Habitat içindeki bir türün çok fazla artması hangi sorunlara neden olur?|sorunlara|
Ham maddesi üretimn merkezinden uzak olan bir ürün nasıl üretilir?|üretilir|
Ham maddeye yakınlık bir ürünün üretimini nasıl etkiler?|etkiler|
Hammadde ekonomik açıdan nasıl önemlidir?|önemlidir|
Hangi durumda havanın maksimum nemi artar?|durumda|
Harita anahtarı(lejant) ne gibi kolaylıklar sağlar?|kolaylıklar|
Harita ile kroki arasında nasıl bir fark vardır?|fark|
Harita yapımında kullanılan temel prensipler nelerdir?|prensipler|temel
Haritaların ölçeklerine göre gruplandırılması nasıl kolaylıklar sağlar?|kolaylıklar|
Haritanın günlük yaşantımızdaki önemi nedir?|önemi|
Hava akımları ile basınç alanları arasında nasıl bir ilişki vardır?|ilişki|
Hava durumu ulaşımı nasıl etkiler?|etkiler|
Hava durumu ve iklim arasındaki fark nedir?|fark|
Hava hareketlerinin sebepleri nelerdir?|sebepleri|
Hava kirlenmesi doğal yaşamı nasıl etkiler?|etkiler|
Hava kirlenmesi nasıl gerçekleşir?|gerçekleşir|
Hava kirlenmesinde etkili olan faktörler nelerdir?|faktörler|
Hava kirlenmesini önlemek için nasıl önlemler alınmalıdır?|önlemler|
Hava kirlenmesinin sonuçları nelerdir?|sonuçları|
Hava olaylarının oluşmasında etkili olan faktörler nasıl etkileşir?|etkileşir|
Hava sıcaklığında ekstem durumların görülmesinin sonuçları nelerdir?|sonuçları|
Hava sıcaklığında ekstrem durumların görülmesinin sebepleri nelerdir?|sebepleri|
Hava yoğunluğu ile atmosfer basıncı arasında nasıl bir ilişki vardır?|ilişki|
Havada nemin az olması sıcaklığı nasıl etkiler?|etkiler|
Havadaki nemin az olması sıcaklığı nasıl etkiler?|etkiler|
Havanın neme doyması için hangi koşullar gerekir?|koşullar|
Hayvancılık için yaylalar neden daha elverişli topraklardır?|topraklardır|
Herhangi bir bölgenin nüfus piramidine bakılarak hangi sonuçlara ulaşılabilir?|sonuçlara|
Heyelan nasıl gerçekleşir?|gerçekleşir|
Heyelan set gölleri nasıl oluşur?|oluşur|
Heyelandan korunabilmek için alınabilecek önlemler nelerdir?|önlemler|
Heyelanın fazla olduğu bölgelerdeki toprak yapısı hakkında neler söylenebilir?|söylenebilir|
Heyelanın oluşması için gerekli koşullar nelerdir?|koşullar|gerekli
Heyelanlar nasıl oluşur?|oluşur|
Heyelanların kar erime dönemlerinde fazlalaşmasının sebebi nedir?|sebebi|
Hidroelektrik santralleri mikroklimayı nasıl değiştirir?|değiştirir|
Hidroelektrik santralleri nasıl çalışır?|çalışır|
Hidroelektrik santralleri tarihi alanlara nasıl zarar vermektedir?|zarar|
Hidroelektrik santrallerinin avantajları nelerdir?|avantajları|
Hidroelektrik santrallerinin dezavantajları nelerdir?|dezavantajları|
Hidroelektrik santrallerinin sosyal etkileri nasıl azaltılabilir?|azaltılabilir|
Hidrojenden nasıl enerji elde edilir?|elde edilir|
Hindistanda görülen muson iklimi günlük hayatı nasıl etkilemektedir?|etkilemektedir|
Hindistanda yapılan yeşil devrimin amacı nedir?|amacı|
Hindistanda yaygın olan inanç tarım ve hayvancılığı nasıl etkilemektedir?|etkilemektedir|
Hindistanda yeterli miktarda et ve süt üretimi yapılamamasının sebebi nedir?|sebebi|
Hindistanın batı eyaletleri doğu eyaletlerine göre ekonomik olarak neden daha çok gelişmiştir?|gelişmiştir|daha çok
Hindistanın büyük bölümünün platolarla kaplı olmasının sonuçları nelerdir?|sonuçları|
Hint uygarlığının  kurulduğu bölgenin özellikleri nasıldır?|özellikleri|
Hissedilen sıcaklık ile gerçek sıcaklık arasında nasıl farklar vardır?|farklar|
Hızlı nüfus artışının nasıl sonuçları olabilir?|sonuçları|
Hızlı nüfus artışının sebepleri nelerdir?|sebepleri|
Hizmet sektöründe çalışan nüfus oranının artması ile ekonomide nasıl bir değişim yaşanır?|değişim|
Holladada havanın sık sık sisli ve bulutlu olmasının sebebi nedir?|sebebi|
Hollandada çocuk ve genç nüfus oranının azalması nelere yol açmaktadır?|yol açmaktadır|
Hollandada doğurganlık oranınn düşmesini etkileyen faktörler nelerdir?|faktörler|
Hollandada hayvancılığın gelişmiş olmasının sebepleri nelerdir?|sebepleri|
Hollandada iklim farklılaşması olmamasının sebebi nedir?|sebebi|
Hollandadaki yel değirmenlerinin temel kullanım amacı nedir?|kullanım amacı|temel
Hollandanın ekonomik yönden gelişmiş olması tarımını nasıl etkilemiştir?|etkilemiştir|
Hollandanın tarım ürünleri ithalatında dünya sıralarında başlarda olmasının nedeni nedir?|nedeni|
İç kuvvetler dağ oluşumunda nasıl etkilidir?|etkilidir|
İç kuvvetlerin yer şekilleri üzerinde nasıl etkileri vardır?|etkileri|
İç kuvvetlerin yer şekillerine etkisi nasıldır?|etkisi|
İçten yanmalı motorların icadı petrol sanayisini nasıl etkilemiştir?|etkilemiştir|
İkinci dünya savaşı nedeniyle savaş ekonomisinin uygulanması, Türkiye'yi nasıl etkilemiştir?|etkilemiştir|
İkinci dünya savaşının japonya üzerinde nasıl etkileri olmuştur?|etkileri|
İklim bölgelerinin sınırlarının kesin olarak işaretlenememesinin sebepleri nelerdir?|sebepleri|
İklim değişimi neden gerçekleşmektedir?|gerçekleşmektedir|
İklim değişiminin sonuçları nelerdir?|sonuçları|
İklim farklılığı canlı çeşitliliğini nasıl etkiler?|etkiler|
İklim ile akarsu rejimi arasında nasıl bir ilişki vardır?|ilişki|
İklim şartları ile hayvancılık faaliyetleri nasıl değişim gösterir?|değişim|
İklim ve bitki örtüsü arasında nasıl bir ilişki vardır?|ilişki|
İklim, toprak oluşumunu nasıl etkiler?|etkiler|
İklimin dağıtım ile olan ilişkisi nasıldır?|ilişkisi|
İklimin dağıtım üzerine olan etkisi nasıl açıklanır?|açıklanır|
İklimin doğal çevre üzerine etkileri nasıldır?|etkileri|
İklimin ekonomik faaliyetler üzerindeki etkisi nasıldır?|etkisi|
İklimin genel özellikleri ile iklim elemanları arasındaki bağlantı nasıldır?|bağlantı|
İklimin medeniyetlerin doğuşuna nasıl etkileri olmuştur?|etkileri|
İklimin sosyal hayat üzerine olan etkileri nasıl açıklanır?|açıklanır|
İklimin tüketim ile nasıl bir ilişkisi vardır?|ilişkisi|
İklimin tüketim üzerine olan etkisi nasıl açıklanır?|açıklanır|
İklimin ulaşım türleri üzerindeki etkisi nasıldır?|etkisi|
İklimin üretim üzerinde ne gibi bir etkisi vardır?|etkisi|
İklimin üretim üzerine olan etkisi nasıl açıklanır?|açıklanır|
İletişim imkanları ticareti nasıl etkiler?|etkiler|
Ilıman kuşakta yerleşim nasıldır?|yerleşim|
Ilıman kuşakta yıl boyu sıcaklık nasıl değişir?|değişir|
İlk uygarlıklardaki kentlerin ortak özellikleri nelerdir?|özellikleri|ortak
İlk yerleşmelerin genelde su kenarlarında kurulmuş olmasının sebebi nedir?|sebebi|
İlk yerleşmelerin tarımla başlamasının sebepleri nelerdir?|sebepleri|
IMF altında çalışan guvernörler heyetinin görevi nedir?|görevi|
IMF devalüasyonlara nasıl engel olur?|engel olur|
IMF ödeme güçlüğü çeken ülkelere nasıl yardımcı olur?|yardımcı olur|
IMF'nin kuruluş amacı nedir?|kuruluş amacı|
İnanç kültürü nasıl etkiler?|etkiler|
İngiltere neden sanayinin beşiği olarak anılmaktadır?|anılmaktadır|
İngiltere neden tarih boyunca avrupadan daha özgür bir ortama sahip olmuştur?|sahip olmuştur|
İngilterede başlayan sanayi devriminin hızlanmasını sağlayan faktörler nelerdir?|faktörler|
İngilterede buhar gücünün kullanılmaya başlanması dokuma sanayisini nasıl değiştirmiştir?|değişmiştir|
İngilterede sanayi devriminden sonra çocuk işçilerin rağbet görmesinin sebepleri nelerdir?|sebepleri|
İngilterenin avrupadan bağımsız bir ada ülkesi olması ona tarih boyunca nasıl avantajlar sağlamıştır?|avantajlar|
İnsan doğayı nasıl değiştirir?|değiştirir|
İnsan faktörü ile doğal kaynaklar arasında nasıl bir ilişki vardır?|ilişki|
İnsanın doğayı değiştirmesinin sonuçları nelerdir?|sonuçları|
İnsanların etkinlikleri doğal çevreden nasıl etkilenir?|etkilenir|
İnsanların sosyoekonomik durumu ile turizm sektörü arasında nasıl bir ilişki vardır?|ilişki|
İnsanların üzerinde yaşadığı taş kürenin özellikleri nelerdir?|özellikleri|
İnternet tüketimi nasıl etkilemektedir?|etkilemektedir|
İpek böcekçiliğinin sanayi açısından önemi nedir?|önemi|
İpek yolu türk kültürünü nasıl etkilemiştir?|etkilemiştir|
İpek yolunun ekonomik önemi nedir?|önemi|ekonomik
İpek yolunun türkiye'den geçmesi, tarih boyunca türkiye'ye nasıl faydalar sağlamıştır?|faydalar|
Irmak adası nasıl oluşur?|oluşur|
Isı ve sıcaklık arasındaki fark nedir?|fark|
Işıma (radyasyon) nasıl gerçekleşir?|gerçekleşir|
İstanbul boğazının bir ürünün dağıtımda nasıl bir önemi vardır?|önemi|
İstanbul boğazının denizcilik açısından önemi nedir?|önemi|
İstanbul boğazının ekonomik açıdan önemi nedir?|önemi|
İstanbul boğazının politik açıdan önemi nedir?|önemi|
İstanbul’un küresel etkisinin fazla olmasının sebepleri nelerdir?|sebepleri|
İstanbulun jeopolitik konumunun önemi nedir?|önemi|
İzmir 1.iktisat kongresinin, Türkiye ekonomisi açısından önemi nedir?|önemi|
İzohips yöntemi nasıl uygulanır?|uygulanır|
Japonada nufusun büyük kısmının kıyı şeridinde toplanması nasıl açıklanır?|açıklanır|
Japonya neden ithal hammaddeye bağımlıdır?|bağımlıdır|
Japonya orman bakımından zengin olmasına rağmen neden kereste ithal etmektedir?|ithal etmektedir|
Japonyada doğal afetlerin sıkça görülmesi günlük yaşamda nasıl değişikliklere sebebiyet vermiştir?|değişikliklere|
Japonyada muson ikliminin günlük yaşam üzerinde nasıl etkileri olmaktadır?|etkileri|
Japonyada nüfusun daha çok büyük şehirlerde toplanmasının sebebi nedir?|sebebi|
Japonyada sanayi tesislerinin çoğunun kıyı kesiminde toplanmasının sebebi nedir?|sebebi|
Japonyada yaşam süresinin uzun olması nasıl açıklanabilir?|açıklanabilir|
Japonyada yıkıcı depremlerin fazla olmasının sebebi nedir?|sebebi|
Japonyanın ada ülkesi olması diğer ülkelerle etkileşimini nasıl etkilemiştir|etkilemiştir|
Japonyanın dünyanın en büyük ekonomilerinden birine sahip olmasının sebepleri nelerdir?|sebepleri|
Japonyanın tarımda dışa bağlı olmasını nedeni nedir?|nedeni|
Japonyanın türdeş nüfuslu bir ülke olmasının nedeni nedir?|nedeni|
Jeolojik zamanlarla ilgili bilgiler nasıl elde edilmektedir?|elde edilmektedir|
Jeolojik zamanlarla ilgili bilgilere nasıl ulaşılmıştır?|ulaşılmıştır|
Jeotermal enerji nasıl üretilir?|üretilir|
Kabartma yöntemi nasıl uygulanır?|uygulanır|
Kaldera nasıl oluşur?|oluşur|
Kalıcı kar sınırı neden ekvatordan kutuplara gidildikçe deniz seviyesine yaklaşır?|yaklaşır|
Kalıcı kar sınırının bakı ile nasıl bir ilişkisi vardır?|ilişkisi|
Kalitesi düşük kömür kullanılması doğayı nasıl etkiler?|etkiler|
Kalitesi düşük kömür kullanılması insanları nasıl etkiler?|etkiler|
Kalkan volkanlar ile tabakalı volkanlar arasında ne farklar vardır?|farklar|
Kalkan volkanların özellikleri nelerdir?|özellikleri|
Kar nasıl oluşur?|oluşur|
Kara ve denizlerin dağılımı canlı çeşitliğini nasıl etkiler?|etkiler|
Karaların çabuk ısınıp çabuk soğumasının sebebi nedir?|sebebi|
Karasallık ile denizden uzak olmak nasıl bağlantılıdır?|bağlantılıdır|
Karbon döngüsü hangi ortamlar arasInda gerçekleşir?|ortamlar|
Karbon döngüsü nasıl gerçekleşir?|gerçekleşir|
Karbondioksit oranı yüksek kesimlerde neden azdır?|azdır|
Karstik araziler tarım açısından nasıl elverişlidir?|elverişlidir|
Karstik aşındırmanın nasıl sonuçları vardır?|sonuçları|
Karstik aşınım nasıl gerçekleşir?|gerçekleşir|
Karstik aşınma nasıl gerçekleşir?|gerçekleşir|
Karstik şekillerin oluşabilmesi için hangi koşullar gereklidir?|koşullar|
Karstik topraklar üzerine yerleşim bölgesi oluşturmanın ne gibi sakıncaları vardır?|sakıncaları|
Kasırgalar nasıl oluşur?|oluşur|
Kasırgaların oluşmasının sebebi nedir?|sebebi|
Kasırgaların sonuçları nelerdir?|sonuçları|
KEİ'nin kurulma amacı nedir?|kurulma amacı|
Kentleşme ile ortaya çıkan sorunlar nelerdir?|sorunlar|
Kentleşme nedir?|kentleşme|
Kentleşme su döngüsünü nasıl etkiler?|etkiler|
Kentlileşme nedir?|kentlileşme|
Kırağı nasıl oluşur?|oluşur|
Kırç nasıl oluşur?|oluşur|
Kırgıbayır nasıl oluşur?|oluşur|
Kırgıbayırın oluşması için nasıl koşullar gereklidir?|koşullar|
Kış sporları amaçlı kullanılan arazilerin ortak özellikleri nelerdir?|özellikleri|ortak
Kıtalar nasıl belirlenmiştir?|belirlenmiştir|
Kıyı ovaları yerleşimi nasıl etkiler?|etkiler|
Kıyıya dik uzanan dağlar o yörede iklimi nasıl etkiler?|etkiler|
Kıyıya paralel uzanan dağlar, o yörede iklimi nasıl etkiler?|etkiler|
Kök çatlatması fiziksel ayrışmayı nasıl etkiler?|etkiler|
Kömür kullanarak elektrik üretmek doğaya nasıl zarar verir?|zarar|
Kongre ve toplantılar turizm açısından neden önemlidir?|önemlidir|
Konik projeksiyon ile düzlem projeksiyon arasında nasıl farklar vardır?|farklar|
Konya ovasında yapılan üretimde iklim şartları elverişli olmasına rağmen tahıl üretiminde neden yıllar arası dalgalanmalar görülür?|görülür|
Krater gölleri nasıl oluşur?|oluşur|
Kromun madencilik sektörü için nasıl bir önemi vardır?|önemi|
Kül konisi nasıl oluşur?|oluşur|
Kültür nasıl tanımlanır?|tanımlanır|
Kültürel coğrafyanın araştırma alanı nedir?|araştırma alanı|
Kültürü oluşturan unsurlar kendi aralarında nasıl etkileşim gösterirler?|etkileşim|
Kültürün dinamik oluşu nasıl açıklanır?|açıklanır|
Kumullar nasıl oluşur?|oluşur|
Kurak alanlarda bitki örtüsü neden azdır?|azdır|
Kuraklığın sonuçları nelerdir?|sonuçları|
Kuraklık neden gerçekleşmektedir?|gerçekleşmektedir|
Kuraklık ve çöllerin artması mevsimleri nasıl etkilemektedir?|etkilemektedir|
Küresel düzeydeki örgütler dünya barışına nasıl katkı sağlamaktadırlar?|katkı|
Küresel düzeydeki örgütlerin ortaya çıkmasında hangi olaylar etkili olmuştur?|olaylar|
Küresel ısınma bitkileri nasıl etkilemiştir?|etkilemiştir|
Küresel ısınma hayvanları nasıl etkilemiştir?|etkilemiştir|
Küresel ısınma mevsim sürelerini nasıl etkiler?|etkiler|
Küresel ısınma nasıl gerçekleşir?|gerçekleşir|
Küresel ısınma okyanus akıntılarını nasıl etkiler?|etkiler|
Küresel ısınmaya neden olan insan faaliyetleri nelerdir?|insan faaliyetleri|
Küresel ısınmaya sebep olan karbon gazlarının artışını engellemek için neler yapılabilir?|yapılabilir|
Kurşun ve civa gibi maddelerin suda birikmesinin ne gibi zararları vardır?|zararları|
Kütle hareketleri nasıl oluşur?|oluşur|
Kütle hareketleri neden daha çok fay kuşaklarında görülür?|görülür|daha çok
Kütle hareketlerinin oluşmasında etkili olan unsurlar nelerdir?|unsurlar|etkili olan
Kutup dairelerinin belirlenmesinde neler esas alınmıştır?|esas alınmıştır|
Kutuplar aylarca güneş aldığı halde neden sıcaklık 0 derecenin altında seyreder?|seyreder|
Kuzey Anadolu fay kuşağının yapısı nasıldır?|yapısı|
Kuzey yarım kürenin sıcaklık ortalamasının güney yarım küreden fazla olmasının nedeni nedir?|nedeni|
Lagün nasıl oluşur?|oluşur|
Lav platoları nasıl oluşur?|oluşur|
Levha tektoniği teorisi nasıl açıklanır?|açıklanır|
Liman şehirlerinde bankacılık, sigortacılık ve taşımacılık gibi mesleklerin önem kazanmış olmasının sebebi nedir?|sebebi|
Londra tipi hava kirlenmesi ile los angeles tipi hava kirlenmesi arasında nasıl farklar vardır?|farklar|
Maden çıkarımının çevreye en az zararı vermesi için alınabilecek önlemler nelerdir?|önlemler|
Maden ihracatı neden önemlidir?|önemlidir|
Madenciliğin çevreye olan olumsuz etkileri nasıldır?|etkileri|olumsuz
Madencilik sektörü üretime nasıl fayda sağlar?|fayda|
Madencilikte siyanür kullanımı neden sakıncalıdır?|sakıncalıdır|
Madenden yapılan aletlerin kullanılmaya başlanması tarıma nasıl katkılar sağlamıştır?|katkılar|
Makineleşme tarımı nasıl etkiler?|etkiler|
Manganez madeninin kullanım alanı nasıldır?|kullanım alanı|
Mantarkaya nasıl oluşur?|oluşur|
Manto üzerinde izostatik denge nasıl gerçekleşir?|gerçekleşir|
Mantodaki hareketler nasıl gerçekleşir?|gerçekleşir|
Matematik konum iklimi nasıl etkiler?|etkiler|
Mekanlar arasında gelişmişlik farkı olması bir ülkede ne gibi sorunlar yaratabilir?|sorunlar|
Meltemler nasıl oluşur?|oluşur|
Menderesler nasıl oluşur?|oluşur|
Mercan kayaları nasıl oluşur?|oluşur|
Mercan kıyılarına alçak enlemlerde rastlanmasının sebebi nedir?|sebebi|
Meridyenler arası uzaklık neden kutuplara doğru gittikçe azalır?|azalır|
Meskenlerde kullanılan malzeme seçimi ile o bölgenin iklimi arasında nasıl bir ilişki vardır?|ilişki|
Meskenlerde kullanılan malzeme seçiminde neler etkili olmaktadır?|etkili olmaktadır|
Metropoliten şehirler ile küçük şehirler arasındaki farklar nelerdir?|farklar|
Mevsimlerin oluşması ile dünyanın ekliptiğe eğik olması nasıl bağlantılıdır?|bağlantılıdır|
Mevsimlerin oluşması nasıl gerçekleşir?|gerçekleşir|
Mevsimlik rüzgarlar nasıl oluşur?|oluşur|
Mezopotamya hangi özellikleri ile eski kültürlerin doğuşuna ev sahipliği yapmıştır?|özellikleri|
Milli parkların turizme nasıl katkıları vardır?|katkıları|
Mısır uygarlığı neden mezopotamya uygarlığından sonra doğmuştur?|doğmuştur|sonra
Muson rüzgarları neden yalnızca Hint okyanusu çevresinde oluşur?|oluşur|
Muson rüzgarlarının oluşmasının sebepleri nelerdir?|sebepleri|
Mutlak nemle bağıl nem arasında nasıl bir ilişki vardır?|ilişki|
Nadas tarımı nasıl gerçekleştirilir?|gerçekleştirilir|
NAFTA anlaşmasının imzalanmasının amacı nedir?|amacı|
NAFTA ile AB'nin kuruluş gerekçesi ile faaliyetleri arasındaki benzerlikler nelerdir?|benzerlikler|
NATO üyeliği Türkiyeye ne gibi avantajlar sağlamaktadır?|avantajlar|
NATOnun kuruluş amacı nedir?|kuruluş amacı|
Nehir ve akarsuların ağır metallerle kirletilmesi nelere sebep olur?|sebep olur|
New york'un ekonomi açısından önemi nedir?|önemi|
Nil nehrinin mısır medeniyeti için önemi neydi?|önemi|
Nüfus artış hızını arttırmaya çalışan ülkelerin özellikleri nelerdir?|özellikleri|
Nüfus artış hızının yükselmesinin insanların tarımsal hayata geçmeleri il nasıl bir ilişkisi vardır?|ilişkisi|
Nüfus artış hızının yükselmesinin olumlu sonuçları nelerdir?|sonuçları|olumlu
Nüfus artışı ile tarım arazilerinin önemi nasıl değişmektedir?|değişmektedir|
Nüfus artışı su döngüsünü nasıl etkiler?|etkiler|
Nüfus artışının olumsuz sonuçları nelerdir?|sonuçları|olumsuz
Nüfus coğrafyası istatistik biliminden nasıl yararlanır?|yararlanır|
Nüfus çoğunluğunun yaşlılardan oluşması nasıl sorunlara yol açar?|sorunlara|
Nüfusun nitelikli hale getirilmesi ekonomik faaliyetleri nasıl etkiler?|etkiler|
Nüfusun özelliği ile ülkelerin kalkınmaları arasında nasıl bir ilişki vardır?|ilişki|
Nükleer enerji nasıl keşfedilmiştir?|keşfedilmiştir|
Nükleer enerjinin riskli olmasının sebepleri nelerdir?|sebepleri|
Nükleer santrallerde nasıl enerji üretilir?|enerji|
Obruklar nasıl oluşur?|oluşur|
OECD dünya ticaretinin gelişmesi için nasıl atılımlar yapmaktadır?|atılımlar|
OECD işsizliği ortadan kaldırmak için nasıl önlemler almaktadır?|önlemler|
OECD'nin kuruluş amacı nedir?|kuruluş amacı|
Oksijenin canlılar için önemi nedir?|önemi|
Okyanusal iklimde  nemliliğin fazla olması yıllık yağış miktarını nasıl etkiler?|etkiler|
Okyanuslardaki sürekli akıntıların sebebi nedir?|sebebi|
Okyanusların iklim üzerindeki etkileri nelerdir?|etkileri|
Olimpiyatlar gibi büyük organizasyonlar turizm açısından neden önemlidir?|önemlidir|
