Geography Open-Ended Questions||
Olumlu çevre koşulları ile turizmin arasında nasıl bir ilişki vardır?|ilişki|
OPEC'in kuruluş amacı nedir?|kuruluş amacı|
Organize sanayi bölgelerinin kurulmasının temel amacı nedir?|amacı|temel
Organk tortul kayaçların oluşumu nasıl gerçekleşir?|gerçekleşir|
Orman yangınları ile iklim tipinin nasıl bir ilişkisi vardır?|ilişkisi|
Orman yangınlarının daha çok yaz mevsiminde görülmesinin nedenleri nelerdir?|nedenleri|
Orman yangınlarının muhtemel sonuçları nelerdir?|sonuçları|muhtemel
Orman yangınlarının sebepleri neler olabilir?|olabilir|
Orman yangınlarının sonuçları nelerdir?|sonuçları|
Ormanlar ekonomik açıdan nasıl bir öneme sahiptir?|öneme|
Ormanların tahrip edilmesi neden sel felaketine zemin hazırlar?|zemin hazırlar|
Orografik yağışlar nasıl oluşur?|oluşur|
Orojenez nasıl gerçekleşir?|gerçekleşir|
Orta asya türk kültürü diğer medeniyetlerden nasıl etkilenmiştir?|etkilenmiştir|
Orta asya türk kültürünün özellikleri nelerdir?|özellikleri|
Orta asya türklerinin yaşadığı bölgede iklim kültürün oluşmasını nasıl etkilemiştir?|etkilemiştir|
Orta kuşak karalarının batı ve doğu kıyılarında sıcaklık neden farklıdır?|farklıdır|
Orta kuşak neden insan yaşamı için en uygun olan bölgedir?|bölgedir|
Orta kuşakta yıl boyu sıcaklık nasıl değişir?|değişir|
Osmanlı devletindeki lonca örgütlenmesinin amacı nedir?|amacı|
Otomobilin icadı ile petrolün dünya pazarındaki rolünün artması arasında nasıl bir ilişki vardır?|ilişki|
Ozon seyrelmesi ile iklim değişiklikleri arasında nasıl bir ilişki vardır?|ilişki|
Ozon tabakası neden tahrip olmaktadır?|tahrip olmaktadır|
Ozon tabakasının tahrip olması nelere sebebiyet verir?|sebebiyet verir|
Ozon tabakasının tamamen ortadan kaybolması nelere yol açar?|yol açar|
Paralel dairelerinin özellikleri nelerdir?|özellikleri|
Paralel ve meridyenler hangi amaçla kullanılır?|amaçla|
Pazar imkanının iyi olması o bölgede sanayinin gelişmesini nasıl etkilemiştir?|etkilemiştir|
Pazarlama sektörü tüketimi nasıl etkilemektedir?|etkilemektedir|
Peneplen haline gelmiş yerlerde epirojenik hareketlerin fazla olmasının sebebi nedir?|sebebi|
Peneplenler nasıl oluşur?|oluşur|
Peribacaları nasıl oluşmuştur?|oluşmuştur|
Petolün en önemli enerji kaynaklarından biri olması nasıl açıklanabilir?|açıklanabilir|
Petrol aramaları sırasında çevreye nasıl zarar verilmektedir?|zarar|
Petrol tankeri kazalarının doğal çevre üzerinde nasıl etkileri vardır?|etkileri|
Petrol yerine biyodizel kullanmanın nasıl yararları vardır?|yararları|
Petrolden günümüzde hangi alanlarda faydalanılmaktadır?|alanlarda|
Petrolün günlük hayattaki kullanım alanları nelerdir?|kullanım alanları|
Petrolün ulaşım sektörü için önemi nedir?|önemi|
Planlı arazi kullanımının faydaları nelerdir?|faydaları|
Plansız kentleşme hangi sebeplerden dolayı gerçekleşir?|sebeplerden|
Plansız kentleşmenin sonuçları nelerdir?|sonuçları|
Polyeler nasıl oluşur?|oluşur|
Püskürük kayaçların oluşumu nasıl açıklanır?|açıklanır|
Radyoaktif kirlenme doğal yaşamı nasıl etkiler?|etkiler|
Radyoaktif kirlenme nasıl oluşur?|oluşur|
Radyoaktif kirlenmede etkili olan faktörler nelerdir?|faktörler|
Radyoaktif kirlenmenin önüne geçmek için nasıl önlemler alınmalıdır?|önlemler|
Radyoaktif kirlenmenin sonuçları nelerdir?|sonuçları|
Regresyon nasıl açıklanır?|açıklanır|
Reklamcılık sektörü tüketimi nasıl etkilemektedir?|etkilemektedir|
Ren nehri Ruhr bölgesi için neden önemlidir?|önemlidir|
Renklendirme yöntemi ile oluşturulan fiziki haritalarda renkler ne şekilde belirlenmiştir?|şekilde|
Renklendirme yöntemi nasıl uygulanır?|uygulanır|
Roma'nın dini açıdan önemi nedir?|önemi|
Roma'nın sanat açısından önemi nedir?|önemi|
Ruhr bölgesinin gelişmesinde kömürden yararlanılmaya başlanması nasıl bir rol üstlenmiştir?|rol|
Rüzgar aşındırmasının en fazla görüldüğü koşullar nelerdir?|koşullar|en fazla görüldüğü
Rüzgar aşındırmasının nasıl sonuçları vardır?|sonuçları|
Rüzgar enerjisi kullanımının çok az olması nelere bağlanabilir?|bağlanabilir|
Rüzgar enerjisi kullanmanın avantajları nelerdir?|avantajları|
Rüzgar enerjisi kullanmanın dezavantajları nelerdir?|dezavantajları|
Rüzgar enerjisinden elektrik üretmenin faydaları nelerdir?|faydaları|
Rüzgar enerjisinden nasıl faydalanılır?|faydalanılır|
Rüzgar fiziksel ayrışmayı nasıl etkiler?|etkiler|
Rüzgar nasıl oluşur?|oluşur|
Rüzgardan elektrik enerjisi üretmek için nelere dikkat etmek gerekir?|dikkat etmek gerekir|
Rüzgarın hızı nelere bağlıdır?|bağlıdır|
Rüzgarlar sıcaklığı nasıl etkiler?|etkiler|
Sanayi devrimi doğal kaynak kullanımında nasıl değişikliklere sebep olmuştur?|değişikliklere|
Sanayi devrimi ekonomik faaliyetleri nasıl değişikliklere uğratmıştır?|değişikliklere|
Sanayi devrimi ile toplumsal hayatta ne gibi değişiklikler olmuştur?|değişiklikler|
Sanayi devriminden önce temel ekonomik faaliyetinin hayvancılık olmasının sebepleri nelerdir?|sebepleri|
Sanayi devriminin beşeri hayat üzerine nasıl etkileri olmuştur?|etkileri|
Sanayi devriminin ilk kez İngiltere görülmesi nasıl açıklanabilir?|açıklanabilir|
Sanayi devriminin ingilterede başlamasının sebepleri nelerdir?|sebepleri|
Sanayi faaliyetlerinin gelişmesi dağıtımı nasıl etkilemiştir?|etkilemiştir|
Sanayi faaliyetlerinin gelişmesi tüketimi nasıl etkilemiştir?|etkilemiştir|
Sanayi faaliyetlerinin gelişmesi üretimi nasıl etkilemiştir?|etkilemiştir|
Sanayi ham maddesi olarak kullanılan doğal kaynakların özellikleri nelerdir?|özellikleri|
Sanayi ve hizmet sektörünün Türkiye'nin daha çok batısında gelişmiş olmasının sebepleri nelerdir?|sebepleri|
Sanayi ve ticaretin gelişmesi ile tarım arasında nasıl bir ilişki vardır?|ilişki|
Sanayide ormanlardan nasıl faydalanılmaktadır?|faydalanılmaktadır|
Sanayide su kullanımı su döngüsünü nasıl etkiler?|etkiler|
Sanayideki gelişim doğal kaynaklarla nasıl bağlantılıdır?|bağlantılıdır|
Sanayileşme hareketleri ülkemizde nasıl değişikliklere sebep olmuştur?|değişikliklere|
Sanayileşme, kentleşme hareketinin gelişimini nasıl etkilemiştir?|etkilemiştir|
Sanayinin gelişmesi doğal kaynaklar açısından neden önemlidir?|önemlidir|
Sarkıtlar nasıl oluşur?|oluşur|
Savaşlar nüfusu nasıl etkiler?|etkiler|
Savaşların göçe nasıl etkileri vardır?|etkileri|
Şehir planı yapılırken arazi altyapısı neden dikkate alınmalıdır?|dikkate alınmalıdır|
Şehirlerin gelişim ve değişimlerinde hangi fonksiyonel özellikler etkili olmuştur?|fonksiyonel özellikler|
Şehirlerin genişlemesi doğal yaşamı nasıl olumsuz etkilemektedir?|etkilemektedir|olumsuz
Sel felaketinin sonuçları nelerdir?|sonuçları|
Selinti nasıl oluşur?|oluşur|
Sellerin doğal süreçlere olan etkisi nasıldır?|etkisi|
Sellerin meydana gelmesindeki beşeri faktörler nelerdir?|faktörler|beşeri
Sellerin meydana gelmesindeki fiziki sebepler nelerdir?|sebepler|fiziki
Sellerin oluşmasında insan faktörü nasıl rol oynar?|rol|
Sera gazları neden dünyanın ortalama sıcaklığını artırmaktadır?|artırmaktadır|
Sera gazlarının üretimini azaltmak için nasıl önlemler alınmalıdır?|önlemler|
Ses kirliliği nasıl oluşur?|oluşur|
Ses kirliliğinin oluşmasında etkili olan faktörler nelerdir?|faktörler|
Ses kirliliğinin önüne geçmek için nasıl önlemler alınmalıdır?|önlemler|
Ses kirliliğinin sonuçları nelerdir?|sonuçları|
Sıcak çöl bitkilerinin özellikleri nelerdir?|özellikleri|
Sıcak çöllerde bitki ve hayvan yaşamını sınırlandıran faktörler nelerdir?|faktörler|
Sıcak iklimlerin etkili olduğu alanlarda hayvan çeşitliliği neden fazladır?|fazladır|
Sıcaklığın artması ile kimyasal ayrışma neden fazlalaşır?|fazlalaşır|
Sıcaklığın artması kimyasal ayrışmayı nasıl etkiler?|etkiler|
Sıcaklığın bitki örtüsü üzerinde nasıl bir etkisi vardır?|etkisi|
Sıcaklık arttıkça bağıl nem nasıl değişir?|değişir|
Sıcaklık enleme göre nasıl değişir?|değişir|
Sıcaklık farklı fiziksel ayrışmayı nasıl etkiler?|etkiler|
Sıcaklık hava basıncını nasıl etkiler?|etkiler|
Sıcaklık miktarı ile bulutlar arasında nasıl bir ilişki vardır?|ilişki|
Sıcaklık neden yıl boyunca değişiklik gösterir?|değişiklik gösterir|
Sıkışan yer kabuğunun  kıvrılması ya da kırılması neye bağlıdır?|bağlıdır|
Sill oluşumu nası gerçekleşir?|gerçekleşir|
Sis nasıl oluşur?|oluşur|
Siyasal sınırlar zaman içinde nasıl değişebilir?|değişebilir|
Soğuk çöl hayvanları beslenme ihtiyaçlarını nasıl karşılarlar?|karşılarlar|
Soğuk çöl ile sıcak çöl arasındaki fark nedir?|fark|
Sosyal kültürel faaliyetler turizmi nasıl etkiler?|etkiler|
Su döngüsü bitkilere nasıl fayda sağlar?|fayda|
Su döngüsü gerçekleşmeseydi hangi sonuçlar ortaya çıkardı?|sonuçlar|
Su döngüsü hayvanlar için neden önemlidir?|önemlidir|
Su döngüsü nasıl gerçekleşir?|gerçekleşir|
Su döngüsü toprağa nasıl fayda sağlar?|fayda|
Su döngüsünün oluşabilmesi için neler gereklidir?|gereklidir|
Su ekosistemlerinin işleyişinde etkili olan faktörler nelerdir?|faktörler|
Su kaynaklarının azalması nelere sebep olabilir?|sebep olabilir|
Su kaynaklarının azalmasının nedenleri nelerdir?|nedenleri|
Su kirlenmesi doğal yaşamı nasıl etkiler?|etkiler|
Su kirlenmesi nasıl gerçekleşir?|gerçekleşir|
Su kirlenmesinde etkili olan faktörler nelerdir?|faktörler|
Su kirlenmesini önlemek için nasıl önlemler alınmalıdır?|önlemler|
Su kirlenmesinin sonuçları nelerdir?|sonuçları|
Su kürenin özellikleri nelerdir?|özellikleri|
Subtropikal iklimin yağış özelliği nasıldır?|yağış özelliği|
Sulak alanları kurutmak su döngüsünü nasıl etkiler?|etkiler|
Sulak alanların daha fazla nüfuslanmasının sebepleri nelerdir?|sebepleri|
Sulama tarımı nasıl etkiler?|etkiler|
Sürdürülebilir tarım nasıl yapılır?|yapılır|
Sürekli  rüzgarlar nasıl oluşur?|oluşur|
Suyun bitkilerin gelişmesi üzerinde nasıl bir etkisi vardır?|etkisi|
Suyun cansız çevre üzerinde nasıl etkileri vardır?|etkileri|
Suyun fotolizi nasıl gerçekleşir?|gerçekleşir|
Tabakalı volkanların özellikleri nelerdir?|özellikleri|
Tafoniler nasıl oluşur?|oluşur|
Tanzimat döneminde sanayileşme adına yapılan atılımlar nelerdir?|atılımlar|
Tarım arazileri insanlar için nasıl bir önem teşkil eder?|önem|
Tarım dışı kullanılması gereken arazilerin tarım amacıyla kullanılması ne gibi sonuçlar doğurur?|sonuçlar|
Tarım faaliyetlerinin ovalarda yoğunlaşmış olmasının sebebi nedir?|sebebi|
Tarım sektörü ile sanayi arasındaki ilişki nasıldır?|ilişkisi|
Tarım sektörünün bir ülkenin kalkınmasındaki rolü nedir?|rolü|
Tarımda bilinçsiz su kullanımı nehir ve gölleri nasıl etkiler?|etkiler|
Tarımda su kullaımı su döngüsünü nasıl etkiler?|etkiler|
Tarımın başlaması insanların yerleşimini nasıl etkilemiştir?|etkilemiştir|
Taş kömürüne yöneliş nasıl başlamıştır?|başlamıştır|
Taş küreyi çepeçevre saran hava kürenin görevleri nelerdir?|görevleri|
Taşkın ovaları çevresine mesken kurmak neden tehlikelidir?|tehlikelidir|
Teknocoğrafyanın araştırma alanı nedir?|araştırma alanı|
Teknoloji doğal kaynakları nasıl tüketmektedir?|tüketmektedir|
Teknoloji insanlara nasıl daha yüksek bir hayat standardı sağlamaktadır?|hayat standardı|daha yüksek
Teknoloji nasıl mal ve hizmet üretimini hızlandırmıştır?|mal ve hizmet üretimini|
Teknoloji nasıl yeni iş sahaları yaratmaktadır?|iş sahaları|yeni
Teknoloji ne gibi sosyal sorunlara yol açar?|sorunlara|sosyal
Teknoloji ne tür çevre sorunlarına yol açmaktadır?|tür|
Teknoloji neden işsizliği artırmaktadır?|artırmaktadır|
Teknoloji üretimde gerekli iş gücü miktarını nasıl azaltmaktadır?|azaltmaktadır|
Teknolojik gelişmişlik ile maden işleme miktarı arasında nasıl bir ilişki vardır?|ilişki|
Teknolojik imkanlar ticareti nasıl etkiler?|etkiler|
Teknolojinin doğal dengeye olan negatif etkileri nelerdir?|etkileri|negatif
Teknolojiye bağlı olarak ortaya çıkan çevre problemleri nelerdir?|çevre problemleri|
Tektonik depremler nasıl gerçekleşir?|gerçekleşir|
Termik basınç alanları nasıl oluşur?|oluşur|
Termik santrallerden çıkan atık su çevreyi nasıl olumsuz etkilemektedir?|etkilemektedir|olumsuz
Termik santrallerden kaynaklanan atıklar nelerdir?|atıklar|
Termik santrallerin bacalarından  çıkan gazlar ormanlara nasıl zarar verir?|zarar|
Termik ve dinamik basınç merkezleri arasındaki farklar nelerdir?|farklar|
Termosferin iletişim açısından önemi nedir?|önemi|
Terra rossa topraklarının özellikleri nelerdir?|özellikleri|
Teşvik politikalarının olumlu yönleri nelerdir?|yönleri|olumlu
Teşvik politikalarının olumsuz yönleri nelerdir?|yönleri|olumsuz
Ticaretin doğması ile tarımsal hayata geçişin nasıl bir ilişkisi vardır?|ilişkisi|
Tohum ıslahı nasıl yapılır?|yapılır|
Tombolo nasıl oluşur?|oluşur|
Toplu yerleşmelerin avantajları nelerdir?|avantajları|
Toplu yerleşmelerin dezavantajları nelerdir?|dezavantajları|
Topoğrafya haritaları hangi konularda bilgi verir?|konularda|
Toprak canlı çeşitliğini nasıl etkiler?|etkiler|
Toprak erozyonu tarımı nasıl etkiler?|etkiler|
Toprak kirlenmesi doğal yaşamı nasıl etkiler?|etkiler|
Toprak kirlenmesi nasıl gerçekleşir?|gerçekleşir|
Toprak kirlenmesinde etkili olan faktörler nelerdir?|faktörler|
Toprak kirlenmesini önlemek için nasıl önlemler alınmalıdır?|önlemler|
Toprak kirlenmesinin sonuçları nelerdir?|sonuçları|
Toprakta verimi düşüren insan kaynaklı etkiler nelerdir?|etkiler|insan kaynaklı
Transgresyon nasıl açıklanır?|açıklanır|
Travertenler nasıl oluşur?|oluşur|
Tropikal kuşak iklimi nasıldır?|tropikal kuşak iklimi|
Troposferin kutuplarda daha ince olmasının sebebi nedir?|sebebi|
Tsunamiler nasıl oluşur?|oluşur|
Tsunamilerin oluşmasının sebepleri nelerdir?|sebepleri|
Tsunamilerin sonuçları nelerdir?|sonuçları|
Tükenebilen doğal kaynaklar nelerdir?|doğal kaynaklar|
Tüketimin fazla olması üretimi nasıl etkiler ?|etkiler|
Tüketimin fazla olması üretimi nasıl etkiler?|etkiler|
Turizm faaliyetleri ekonomiyi nasıl etkiler?|etkiler|
Turizm faaliyetleri tüketimi nasıl etkiler?|etkiler|
Turizm faaliyetleri üretimi nasıl etkiler?|etkiler|
Turizm gelirlerine neden görünmeyen ihracat denir?|denir|
Turizm nasıl istihdam yaratır?|istihdam|
Turizmin çevresel ve ekolojik etkileri nasıldır?|etkileri|çevresel ve ekolojik
Turizmin dünya barışına nasıl katkıları vardır?|katkıları|
Turizmin ekonomik etkileri nelerdir?|etkileri|ekonomik
Turizmin farklı ülkelerden insanları kaynaştırmasının olumlu yanları nelerdir?|yanları|olumlu
Turizmin nasıl politik etkileri vardır?|etkileri|politik
Türk dil kurumu nasıl çalışmalar yürütmektedir?|çalışmalar|
Türk kültürü tarih boyunca diğer medeniyetlerden nasıl etkilenmiştir?|etkilenmiştir|
Türk kültürünün dünya'nın pek çok yerine yayılmış olmasının sebepleri nelerdir?|sebepleri|
Türk kültürünün oluşmasında Türklerin yaşadıkları bölgelerin iklim özelliklerinin etkisi nasıl olmuştur?|olmuştur|
Türk kültürünün zengin bir kültür olmasının sebepleri nelerdir?|sebepleri|
Türk tarih kurumu nasıl çalışmalar yürütmektedir?|çalışmalar|
Türkiye ekonomisinin gelişimi açısından hizmet sektörünün nasıl katkıları vardır?|katkıları|
Türkiye neden çağlar boyu pek çok uygarlığın kurulduğu ve geliştiği bir coğrafyadır?|coğrafyadır|
Türkiye’de genç nüfusun fazla olmasının sebebi nedir?|sebebi|
Türkiye'de arazi kullanımı yer şekillerine göre nasıl bir dağılım gösterir?|dağılım|
Türkiye'de bazı madenlerden elde edilen gelir miktarının geçmişe göre günümüzde daha fazla olması nasıl açıklanabilir?|açıklanabilir|
Türkiyede boru hatları ulaşımının gelişmesinin sebebi nasıl açıklanır?|açıklanır|
Türkiye'de fazla sayıda deprem görülmesinin temel sebebi nedir?|sebebi|temel
Türkiyede iç ticaretin 1950den sonra önem kazanmasının sebebi nedir?|sebebi|
Türkiyede kara ve demiryollarının doğu batı doğrultusunda uzanmasının sebebi nedir?|sebebi|
Türkiyede tarım bölgelerinin dağılışında etkili olan beşeri faktörler nelerdir?|faktörler|beşeri
Türkiyede tarım bölgelerinin dağılışında etkili olan doğal faktörler nelerdir?|faktörler|doğal
Türkiyede tarım bölgelerinin dağılışında etkili olan ekonomik faktörler nelerdir?|faktörler|ekonomik
Türkiye'de ulaştırma hizmetlerinin, sektördeki payının fazla olmasının nedeni nedir?|nedeni|
Türkiye'de yıllar içinde tarım sektöründeki azalma neyin sonucudur?|sonucudur|
Türkiyede yoğun nüfuslu bölgelerin benzer özellikleri nelerdir?|özellikleri|benzer
Türkiyede yüksek düzlüklerin fazla alan kaplamasının sebebi nedir?|sebebi|
Türkiyedeki akarsular üzerinde taşımacılık yapılamamasının nedeni nedir?|nedeni|
Türkiye'deki hizmet sektörünün ekonomideki payının büyümesi, ülke ekonomisini nasıl etkiler?|etkiler|
Türkiyedeki sanayi faaliyetlerinin ulaşım üzerindeki etkileri nelerdir?|etkileri|
Türkiye'deki tarım gelirlerinin gittikçe azalması nasıl açıklanır?|açıklanır|
Türkiye'nin alp-himalaya deprem kuşağı üzerinde yer almasının sonuçları nelerdir?|sonuçları|
Türkiyenin balıkçılıkta ilerlememiş olmasının sebepleri nelerdir?|sebepleri|
Türkiyenin coğrafi konumu ulaşım türlerinin gelişmesini nasıl etkilemiştir|etkilemiştir|
Türkiyenin coğrafi konumunun ulaşım üzerine etkileri nasıldır?|etkileri|
Türkiye'nin denizlere kıyısının olmasının tarih boyunca diğer ülkelerle kurduğu iletişim üzerinde nasıl bir etkisi olmuştur?|etkisi|
Türkiye'nin doğusu ve güneydoğusunun hidroelektrik adına yüksek potansiyele sahip olmasının sebebi nedir?|sebebi|
Türkiye'nin her yerinde aynı sıklık ve şiddette depremler meydana gelmemesinin sebepleri nelerdir?|sebepleri|
Türkiye'nin hidroelektrik enerji potansiyelinin fazla olmasında hangi özellikleri etkilidir?|özellikleri|
Türkiyenin ılıman kuşakta yer almasının sosyal ve ekonomik alanda etkileri nasıldır?|etkileri|
Türkiyenin su ürünleri açısından yüksek bir potansiyele sahip olmasının nedeni nedir?|nedeni|
Türkiye'nin üç tarafının denizlerle çevrili olması, jeopolitik konumunu nasıl etkiler?|etkiler|
Türkiye'nin yüksek bir turizm potansiyeline sahip olmasının nedeni nedir?|nedeni|
Türkiye'nın, Asya ve Avrupa kıtaları arasında yer alması turizm potansiyelini nasıl etkiler?|etkiler|
Türklerin arap kültüründen etkilenmesinin sonuçları nelerdir?|sonuçları|
Türklerin Çin kültüründne etkilenmesinin sonuçları nelerdir?|sonuçları|
Türklerin diğer kültürlerden etkilenmesinin sonuçları nelerdir?|sonuçları|
Türklerin islamiyeti kabul etmesi kültürlerini nasıl etkilemiştir?|etkilemiştir|
Türklerin orta asyada göçebe olarak yaşamalarında etkili olan coğrafi faktörler nelerdir?|coğrafi faktörler|
Tuz gölünün ticari önemi nedir?|önemi|ticari
Ulaşım araçlarındaki gelişimler ekonomiyi nasıl etkilemiştir?|etkilemiştir|
Ulaşım ile turizm faaliyetleri nasıl ilişkilidir?|ilişkilidir|
Ulaşım sistemlerinin ortaya çıkış sebepleri nelerdir?|sebepleri|
Ülkeler arasında doğal kaynak kullanımı açısından nasıl farklar vardır?|farklar|
Ülkeler doğal kaynaklarını kullanırken nelere dikkat etmelidirler?|dikkat etmelidirler|
Ülkeler ekonomik gelişmişliklerine göre nasıl sınıflandırılır?|sınıflandırılır|
Ülkelerin nüfus politikalarının farklı olmasının nedenleri nelerdir?|nedenleri|
Ülkerlerin birbirleriyle ticaret yapmalarının asıl amacı nedir?|amacı|asıl
Ulusal parklar neden koruma altına alınmışlardır|alınmışlardır|
Uluslararası ilişkilerin geliştirilmesinde siyasi ve ekonomik örgütlerin nasıl bir rolü vardır?|rolü|
Uluslararası saat dilimleri nasıl oluşturulmuştur?|oluşturulmuştur|
Üniversite sayısının fazla olması ile Ankaranın nüfusunun sürekli artması arasında nasıl bir ilişki vardır?|ilişki|
Üretim faaliyetleri üzerinde etkili olan beşeri faktörler nelerdir?|faktörler|beşeri
Vadi oluşumu nasıl açıklanır?|açıklanır|
Vadilerin derinliği ile akarsu rejiminin nasıl bir ilişkisi vardır?|ilişkisi|
Volkan konisi nasıl oluşur?|oluşur|
Volkanik depremler nasıl gerçekleşir?|gerçekleşir|
Volkanik faaliyetler nasıl gerçekleşir?|gerçekleşir|
Volkanik platolar nasıl oluşur?|oluşur|
Volkanizma nasık oluşur?|oluşur|
X ışınlarının kötü etkileri nelerdir?|etkileri|kötü
Yağmur nasıl oluşur?|oluşur|
Yağmur oluşumunu nasıl açıklarız?|açıklarız|
Yağmur su döngüsü açısından nasıl önemlidir?|önemlidir|
Yağmurun tarım üzerinde ne gibi etkileri vardır?|etkileri|
Yağrmu ormanlarının tahrip edilmesi sonucu ortaya çıkan çevresel sorunlar nelerdir?|sorunlar|çevresel
Yamaç yağışları ile cephe yağışları arasında nasıl farklar vardır?|farklar|
Yamaç yağışları ile yükselim yağışları arasında nasıl farklar vardır?|farklar|
Yamaç yağışları nası oluşur?|oluşur|
Yanlış sulama teknikleri tarım arazilerini nasıl etkiler?|etkiler|
Yapay yağmur sistemlerinin tarım üzerine nasıl etkileri olmuştur?|etkileri|
Yardang nasıl oluşur?|oluşur|
Yarıntılar nasıl oluşur?|oluşur|
Yaşanılan yerin coğrafi şartları ve iklimi arasında nasıl ilişki kurulabilir?|ilişki|
Yaz musonlarının fazla yağış bırakmasının sebebi nedir?|sebebi|
Yazının icadı kültürlerin gelişmesini nasıl etkilemiştir?|etkilemiştir|
Yenilenemeyen enerji kaynakları nelerdir?|enerji kaynakları|yenilenemeyen
Yer altı mağaraları nasıl oluşmuştur?|oluşmuştur|
Yer altı sularına deniz suyunun karışmasının sakıncaları nelerdir?|sakıncaları|
Yer kabuğuna neden yük biner?|yük biner|
Yer kabuğundaki levhaların birbirine yaklaşması nasıl olaylara sebep olur?|olaylara|
Yer kabuğunun içindeki kızgın maddeler nasıl yukarı çıkar?|yukarı çıkar|
Yer şekilleri bir bölgede kültürün oluşmasını nasıl etkiler?|etkiler|
Yer şekilleri ekonomik faaliyetler üzerinde nasıl etkilidir?|etkilidir|
Yer şekilleri yağış miktarını nasıl etkiler?|etkiler|
Yer şekillerinin etkisi ile hayvancılık faaliyetleri nasıl değişim gösterir?|değişim|
Yer şekillerinin fazla eğimli olması heyelan olayını nasıl etkiler?|etkiler|
Yerden yükseğe çıkıldıkça neden atmosfer basıncı azalır?|azalır|
Yerden yükseldikçe sıcaklık neden azalır?|azalır|
Yerel saat farkı nasıl oluşur?|oluşur|
Yerkabuğunda gerçekleşen hareketlerin temel sebebi nedir?|sebebi|temel
Yerkabuğunun katmanlardan oluştuğunu nasıl anlarız?|anlarız|
Yerkürenin şekli sıcaklık dağılışını nasıl etkiler?|etkiler|
Yerleşme şekilleri, yer şekillerine göre nasıl değişiklik gösterir?|değişiklik|
Yeryüzü şekilleri ekonomik faaliyetleri nasıl etkiler?|etkiler|
Yeryüzünde fay hatları ile sıcak su kaynakları arasında nasıl bir ilişki vardır?|ilişki|
Yeryüzünde güneşi doğrudan görmeyen yerlerin aydınlık olmasını sağlayan başlıca etken nedir?|etken|başlıca
Yeryüzünde güneşi doğrudan görmeyen yerlerin aydınlık olmasını sağlayan başlıca etken nedir?|etken|başlıca
Yeryüzünde neden birbirinden farklı iklim kuşakları görülmektedir?|görülmektedir|
Yeryüzünde sıcaklık dağılışına etki eden faktörler nelerdir?|faktörler|
Yeryüzündeki aktif volkanların görüldüğü alanlarla deprem bölgeleri arasında nasıl bir ilişki vardır?|ilişki|
Yetersiz teknolojinin kullanılması doğal kaynakları nasıl etkiler?|etkiler|
Yoğun nüfuslu bölgeler dünyada neden daha çok orta kuşakta toplanmıştır?|toplanmıştır|daha çok
Yoğunluğa bağlı akıntıların boğazlarda daha çok görülmesinin sebebi nedir?|sebebi|
Yüksek basınç alanlarında hava genelde neden açıktır?|açıktır|
Yüksek yerlere çıktıkça su buharının azalmasının sebebi nedir?|sebebi|
Yükseklere çıkıldıkça atmosferin basıncının düşmesi nasıl açıklanır?|açıklanır|
Yükseklik hava basıncını nasıl etkiler?|etkiler|
Yükseklik yağış miktarını nasıl etkiler?|etkiler|
Yükselim yağışları nasıl oluşur?|oluşur|
Yükseltinin bir yerdeki hava sıcaklığı üzerine etkisi nasıldır?|etkisi|
Yüzey şekilleri ile çığ felaketinin nasıl bir ilişkisi vardır?|ilişkisi|
